"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","fish_id","bin","part_type"
110,"V330494_L136_1_C.jpg",NA,353.2949,0,NA,0,0,NA,0,1,110.4975,0,0,0,0,0,5,93.1428,0,NA,NA,0,NA,NA,NA,55.0727,713.9811,"V330494","L0136","C"
111,"V330494_L136_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,685.9738,"V330494","L0136","P"
112,"V330495_L137_1_C.jpg",NA,360.448,0,NA,0,0,NA,0,1,124.4508,0,0,0,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,691.6676,"V330495","L0137","C"
113,"V330495_L137_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,702.2307,"V330495","L0137","P"
114,"V330496_L138_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,195,429.0105,545.8351,68.4105,721.4049,"V330496","L0138","C"
115,"V330496_L138_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,146.697,0,0,0,0,0,6,112.6055,0,NA,NA,0,NA,613.4175,456.0395,NA,695.0489,"V330496","L0138","P"
116,"V330499_L141_1_P.jpg",3781.8436,489.7141,0,NA,0,1,201.598,0,0,NA,1,8,7,16,12,6,171.9448,2,330.8904,NA,0,488.8988,NA,610.5443,63.8679,691.575,"V330499","L0141","P"
117,"V330500_L142_1_P.jpg",NA,448.6477,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,79.2591,0,NA,NA,0,189.4756,588.6731,563.0497,135.8308,NA,"V330500","L0142","P"
118,"V330500_L142_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,722.5206,"V330500","L0142","P"
119,"V330502_L144_1_C.jpg",3024.6443,404.4059,0,NA,0,0,NA,0,1,90.4489,0,9,6,17,13,4,84.4808,0,NA,NA,0,148.9463,360.9986,356.7856,77.4209,714.0567,"V330502","L0144","C"
120,"V330502_L144_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,704.0455,"V330502","L0144","P"
121,"V330504_L146_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,704.1818,"V330504","L0146","C"
122,"V330504_L146_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,686.1873,"V330504","L0146","P"
123,"V330507_L149_1_C.jpg",NA,435.9136,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,715.3978,"V330507","L0149","C"
124,"V330507_L149_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,8,82.3772,0,NA,NA,0,NA,NA,NA,NA,709.2447,"V330507","L0149","P"
125,"V330509_L151_1_C.jpg",4502.8963,548.429,0,NA,0,0,NA,0,1,123.4828,0,9,8,17,11,4,104.3072,0,NA,NA,0,189.0608,340.5877,495.9032,160.9969,707.6722,"V330509","L0151","C"
126,"V330509_L151_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,715.6312,"V330509","L0151","P"
127,"V330510_L152_1_C.jpg",2937.8824,354.8383,0,NA,0,0,NA,0,1,85.9069,0,7,8,17,13,4,131.2136,0,NA,NA,0,115.8016,355.2689,351.8707,126.0357,726.731,"V330510","L0152","C"
128,"V330511_L153_1_C.jpg",3165.4533,415.654,0,NA,0,0,NA,0,0,NA,0,10,8,18,13,5,109.0367,0,NA,NA,0,164.0152,503.607,395.3859,78.5175,711.4049,"V330511","L0153","C"
