"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA"
11,"V330390_L30_1_C.jpg",NA,527.0319,0,NA,0,0,NA,0,0,NA,0,0,0,16,14,5,55.1725,2,286.531,274.4668,0,644.6984,537.3863,432.1342,NA,690.8835,NA
12,"V330390_L30_1_P.jpg",4194.0043,NA,0,NA,0,1,329.12,0,1,210.2189,0,7,7,0,0,0,NA,0,NA,NA,0,NA,NA,NA,123.3694,712.1798,0
13,"V330391_L31_1_P.jpg",4748.5864,566.9275,0,NA,0,0,NA,0,0,NA,0,10,8,17,12,4,130.0615,0,NA,NA,0,NA,647.299,608.9105,102.489,689.362,0
14,"V330392_L32_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,692.4738,0
15,"V330392_L32_1_P.jpg",NA,NA,1,198.386,0,1,135.5323,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,723.1494,631.3984,627.3731,161.5549,684.9599,NA
16,"V330395_L35_1_P.jpg",3080.1558,332.9897,1,NA,0,0,NA,0,1,94.8683,0,9,8,18,11,4,218.0826,0,NA,NA,0,NA,387.1034,303.0891,57.3487,694.1458,0
17,"V330397_L37_1_C.jpg",NA,332.7197,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
18,"V330397_L37_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,63.3877,2,314.6824,255.1235,0,NA,NA,NA,NA,NA,0
19,"V330397_L37_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,553.1094,448.2912,281.3254,NA,NA,0
20,"V330397_L37_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,688.0465,0
21,"V330397_L37_1_P.jpg",2979.8156,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
22,"V330397_L37_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,99.7246,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
23,"V330397_L37_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,694.4595,0
24,"V330399_L39_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,688.4185,0
25,"V330399_L39_1_C.jpg",NA,487.4651,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
26,"V330399_L39_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,7,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
27,"V330399_L39_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,18,14,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
28,"V330399_L39_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,138.5208,2,401.1384,363.8296,0,NA,NA,NA,NA,NA,0
29,"V330399_L39_1_P.jpg",3981.3043,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,875.7168,NA,361.884,83.5225,702.0997,NA
30,"V330400_L40_1_C.jpg",3580.2145,422.7414,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
31,"V330400_L40_1_C.jpg",NA,NA,0,NA,0,0,NA,0,1,141.1524,0,8,7,14,12,5,88.4081,2,363.4776,316.4806,0,565.2787,578.1661,495.7177,78.5875,693.1234,0
32,"V330400_L40_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,692.0116,0
33,"V330400_L40_1_P.jpg",3601.3975,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
34,"V330404_L44_1_P.jpg",3692.0494,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
35,"V330404_L44_1_P.jpg",NA,474.6936,0,NA,0,0,NA,0,1,133.4166,0,8,7,16,11,6,109.1788,2,287.1237,NA,0,681.5541,620.6319,NA,130.384,702.5667,0
36,"V330405_L45_1_C.jpg",4144.4853,501.3472,0,NA,0,1,231.3871,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
37,"V330405_L45_1_C.jpg",NA,NA,0,NA,0,0,NA,0,1,110.4355,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
38,"V330405_L45_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,8,8,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
39,"V330405_L45_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,14,12,5,145.1206,0,NA,NA,0,NA,NA,NA,NA,NA,0
40,"V330405_L45_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,NA,0,NA,NA,NA,NA,NA,0
41,"V330405_L45_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,657.3462,551.6013,454.3831,100.3195,695.9454,0
42,"V330405_L45_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,264.1969,0,NA,NA,NA,NA,700.7326,NA
43,"V330407_L47_1_C.jpg",3994.4653,NA,0,NA,0,1,270.7028,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
44,"V330407_L47_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,1,0,0,0,0,0,NA,2,363.8901,NA,0,NA,739.7838,789.8962,NA,686.1953,0
45,"V330407_L47_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,193.4942,686.743,0
46,"V330411_L51_1_C.jpg",NA,NA,0,NA,1,1,400.4997,0,1,172.0465,0,0,0,0,0,0,NA,2,513.8249,NA,0,NA,NA,NA,NA,NA,NA
47,"V330411_L51_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,695.8448,1
48,"V330424_L64_1_C.jpg",NA,479.7707,1,266.3682,0,1,281.3965,0,1,186.6869,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
49,"V330424_L64_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,8,6,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
50,"V330424_L64_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,18,10,5,171.2367,2,NA,369.4997,0,660.6134,444.4255,293.0188,NA,702.1602,0
51,"V330424_L64_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,364.7794,NA,0,NA,NA,NA,NA,709.129,NA
52,"V330447_L87_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,700.5826,1
53,"V330450_L90_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,122.3765,690.2753,0
54,"V330450_L90_2_P.jpg",NA,638.1455,0,NA,0,1,299.8666,0,1,164.4384,0,0,0,0,11,5,126.3012,0,NA,NA,0,192.1666,430.8132,514.4006,89.4427,685.6238,NA
55,"V330455_L95_1_C.jpg",NA,398.9767,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
56,"V330455_L95_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,364.5339,NA,702.6023,0
57,"V330455_L95_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,86.3771,0,0,0,15,14,0,NA,0,NA,NA,0,NA,356.8991,286.2447,42.107,692.4868,0
58,"V330458_L98_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,240.4683,713.2181,0
59,"V330458_L98_1_P.jpg",4787.8115,578.802,0,NA,0,0,NA,0,0,NA,0,7,6,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
60,"V330458_L98_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,17,10,4,172.676,0,NA,NA,0,259.9461,587.6402,NA,NA,NA,0
61,"V330458_L98_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,707.8538,0
62,"V330461_L101_1_C.jpg",NA,NA,0,NA,0,0,NA,0,1,107.8703,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.5146,0
63,"V330461_L101_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,719.9806,0
64,"V330462_L102_1_C.jpg",NA,397.5113,0,NA,0,0,NA,0,1,68,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
65,"V330462_L102_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,86.8304,0,NA,NA,0,133.0198,292.7267,NA,NA,704.409,0
66,"V330462_L102_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,725.887,0
67,"V330464_L104_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.8074,0
68,"V330464_L104_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,126.5701,0,NA,NA,0,172.7078,327.7682,NA,NA,687.5173,NA
69,"V330466_L106_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,155.0629,NA,588.8022,NA,702.519,NA
70,"V330466_L106_1_P.jpg",4012.4849,NA,0,NA,0,0,NA,0,1,101.8234,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
71,"V330466_L106_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,9,9,17,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
72,"V330466_L106_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,142.2252,0,NA,NA,0,160.4244,413.4731,NA,NA,NA,0
73,"V330466_L106_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,143.0245,619.9481,0
74,"V330468_L108_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,713.2685,0
75,"V330468_L108_1_P.jpg",3063.8903,371.5762,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
76,"V330468_L108_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,120.075,0,9,8,17,12,5,99.7246,0,NA,NA,0,NA,479.4372,300.3748,49.6588,714.6363,0
77,"V330470_L110_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.0113,0
78,"V330470_L110_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,229.0589,289.0329,0,NA,502.9075,359.5608,NA,694.2881,NA
79,"V330473_L113_1_C.jpg",NA,535.8274,0,NA,0,0,NA,0,1,120.8119,0,0,0,0,12,4,89.4427,0,NA,NA,0,589.5354,NA,NA,NA,NA,0
80,"V330473_L113_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,NA,0,NA,NA,636.5532,116.4818,689.4055,0
81,"V330473_L113_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,688,0
82,"V330474_L114_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,707.6722,0
83,"V330474_L114_1_P.jpg",NA,404.9763,0,NA,0,1,277.2003,0,1,116.8418,0,0,0,0,13,5,110.3087,0,NA,NA,0,169.2572,400.7842,323.444,67.9117,702.2535,NA
84,"V330476_L116_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,89.958,707.6298,NA
85,"V330476_L116_1_P.jpg",NA,388.5271,0,NA,1,0,NA,1,1,115.4777,0,0,0,0,0,0,NA,0,NA,NA,1,NA,NA,NA,145.2446,712.8646,1
86,"V330480_L120_1_P.jpg",NA,476.8604,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
87,"V330480_L120_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,16,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
88,"V330480_L120_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,12,0,NA,0,NA,NA,0,550.1309,612.0163,NA,NA,NA,0
89,"V330480_L120_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,192.333,708.0113,0
90,"V330481_L122_1_C.jpg",NA,496.1181,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.6353,0
91,"V330481_L122_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,13,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,694.0576,0
92,"V330483_L125_1_C.jpg",NA,NA,0,NA,0,1,243.3927,0,1,109.3435,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,691.238,0
93,"V330483_L125_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,13,5,172.7021,0,NA,NA,0,141.5097,407.8787,NA,NA,690.1043,NA
94,"V330484_L126_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,709.1629,0
95,"V330484_L126_1_P.jpg",NA,568.7825,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1
96,"V330484_L126_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,137.884,0,10,9,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,679.0346,1
97,"V330488_L130_1_P.jpg",NA,540.0207,0,NA,0,0,NA,0,1,163.2176,0,0,0,0,0,5,149.3452,0,NA,NA,0,NA,632.5694,596.8584,NA,720.8994,0
98,"V330489_L131_1_P.jpg",2782.6306,330.8426,0,NA,0,0,NA,0,1,109.2016,0,9,8,17,12,4,138,0,NA,NA,0,120.1499,354,388.2074,61.8466,707.2652,NA
99,"V330490_L132_1_C.jpg",1954.96,327.7899,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,697.6506,0
100,"V330490_L132_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,16,13,4,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
101,"V330490_L132_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,70.4557,0,0,0,0,0,0,NA,0,NA,NA,0,NA,269.0725,201.1368,50.9902,708.0706,0
102,"V330492_L134_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,697.1485,0
103,"V330492_L134_1_C.jpg",NA,NA,0,NA,0,0,NA,0,1,105.7458,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
104,"V330492_L134_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,6,134.7264,0,287.1167,NA,0,NA,NA,NA,NA,NA,0
105,"V330492_L134_1_P.jpg",3340.7893,395.9624,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
106,"V330492_L134_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,17,14,0,NA,2,NA,234.3075,0,489.6897,349.1361,302.1672,88.2836,686.3709,0
107,"V330493_L135_1_C.jpg",NA,466.2384,0,NA,0,0,NA,0,1,135.3514,0,0,0,0,12,0,NA,0,NA,NA,0,227.4379,412.0777,423.7924,88.3629,NA,0
108,"V330493_L135_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,696.7819,0
109,"V330493_L135_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,700.5826,0
110,"V330494_L136_1_C.jpg",NA,353.2949,0,NA,0,0,NA,0,1,110.4975,0,0,0,0,0,5,93.1428,0,NA,NA,0,NA,NA,NA,55.0727,713.9811,0
111,"V330494_L136_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,685.9738,0
112,"V330495_L137_1_C.jpg",NA,360.448,0,NA,0,0,NA,0,1,124.4508,0,0,0,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,691.6676,0
113,"V330495_L137_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,702.2307,0
114,"V330496_L138_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,195,429.0105,545.8351,68.4105,721.4049,NA
115,"V330496_L138_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,146.697,0,0,0,0,0,6,112.6055,0,NA,NA,0,NA,613.4175,456.0395,NA,695.0489,0
116,"V330499_L141_1_P.jpg",3781.8436,489.7141,0,NA,0,1,201.598,0,0,NA,1,8,7,16,12,6,171.9448,2,330.8904,NA,0,488.8988,NA,610.5443,63.8679,691.575,NA
117,"V330500_L142_1_P.jpg",NA,448.6477,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,79.2591,0,NA,NA,0,189.4756,588.6731,563.0497,135.8308,NA,0
118,"V330500_L142_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,722.5206,0
119,"V330502_L144_1_C.jpg",3024.6443,404.4059,0,NA,0,0,NA,0,1,90.4489,0,9,6,17,13,4,84.4808,0,NA,NA,0,148.9463,360.9986,356.7856,77.4209,714.0567,NA
120,"V330502_L144_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,704.0455,0
121,"V330504_L146_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,704.1818,0
122,"V330504_L146_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,686.1873,0
123,"V330507_L149_1_C.jpg",NA,435.9136,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,715.3978,0
124,"V330507_L149_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,8,82.3772,0,NA,NA,0,NA,NA,NA,NA,709.2447,0
125,"V330509_L151_1_C.jpg",4502.8963,548.429,0,NA,0,0,NA,0,1,123.4828,0,9,8,17,11,4,104.3072,0,NA,NA,0,189.0608,340.5877,495.9032,160.9969,707.6722,NA
126,"V330509_L151_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,715.6312,0
127,"V330510_L152_1_C.jpg",2937.8824,354.8383,0,NA,0,0,NA,0,1,85.9069,0,7,8,17,13,4,131.2136,0,NA,NA,0,115.8016,355.2689,351.8707,126.0357,726.731,NA
128,"V330511_L153_1_C.jpg",3165.4533,415.654,0,NA,0,0,NA,0,0,NA,0,10,8,18,13,5,109.0367,0,NA,NA,0,164.0152,503.607,395.3859,78.5175,711.4049,NA
129,"V330513_L155_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,150.12,0,NA,NA,0,124.3101,676.4983,657.1918,113.2078,717.7527,NA
130,"V330513_L155_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,202.4253,719.5248,0
131,"V330516_L158_1_C.jpg",NA,479.8632,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,72.308,0,NA,NA,0,NA,NA,NA,NA,711.3101,0
132,"V330518_L160_1_P.jpg",3068.5866,362.1654,0,NA,0,1,228.0351,1,0,128.0625,0,7,7,18,13,0,NA,0,NA,NA,0,116.0172,324.5489,248.8453,NA,717.0077,NA
133,"V330521_L163_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,189.5943,591.6164,520.0481,NA,702.1602,NA
134,"V330522_L164_1_P.jpg",NA,426.1626,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
135,"V330522_L164_1_P.jpg",NA,NA,0,NA,0,1,250.7987,0,0,NA,1,0,0,0,0,4,NA,0,NA,NA,0,183.5211,NA,NA,NA,700.0357,0
136,"V330523_L166_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,77.2528,705.6005,0
137,"V330523_L166_1_P.jpg",2125.586,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,94.255,239.8833,222.5039,57.7235,701.6438,NA
138,"V330525_L169_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,533.1866,104.3072,688.7438,0
139,"V330525_L169_1_P.jpg",NA,540.0084,0,NA,0,0,NA,0,1,164.195,0,0,0,0,0,5,81.5843,0,NA,NA,0,137.6372,443.0621,497.9317,118.9285,713.448,NA
140,"V330526_L170_1_C.jpg",NA,420.028,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,702.4101,0
141,"V330526_L170_1_P.jpg",NA,NA,0,NA,0,0,NA,1,1,127.059,0,0,0,0,0,5,100.9752,0,NA,NA,0,NA,NA,NA,NA,698.1805,0
142,"V330527_L171_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,8,7,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,712.4044,0
143,"V330528_L172_2_C.jpg",NA,351.3761,0,NA,0,1,121.3425,0,1,102.1763,0,0,0,0,13,5,106.066,0,NA,NA,0,161.5549,463.6432,330.4088,69.5845,696.6204,NA
144,"V330532_L176_1_P.jpg",4750.4884,613.476,0,NA,0,1,289.8068,1,1,163.878,0,8,8,15,11,6,186.8689,0,NA,NA,0,214.4108,675.4732,NA,231.6031,726.0992,NA
145,"V330533_L177_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,224.1428,0,NA,NA,NA,NA,NA,0
146,"V330533_L177_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,214.4015,NA,0,514.389,333.7664,NA,NA,NA,0
147,"V330533_L177_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,703.1472,0
148,"V330533_L177_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,429.7953,NA,NA,0
149,"V330533_L177_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,693.951,0
150,"V330534_L178_1_C.jpg",3178.021,395.527,0,NA,0,0,NA,0,1,93.723,0,0,0,17,0,4,87.2067,0,NA,NA,0,160.8011,NA,394.4515,165.4358,695.4632,NA
