fish_id,part_row_id,measure,part_value,part_scale,cpart_row_id,cpart_value,cpart_scale,var_type,scale,absolute_diff,relative_diff,exceeds_threshold
V330455,57,DS3,86.3771,692.4868,55,0,NA,continuous,692.4868,86.3771,0.12473465198181394,TRUE
V330455,57,DS3,86.3771,692.4868,56,0,702.6023,continuous,697.5445500000001,86.3771,0.1238302270442798,TRUE
V330455,57,CLE,286.2447,692.4868,56,364.5339,702.6023,continuous,697.5445500000001,78.2892,0.11223541206077803,TRUE
V330455,57,MCV,15,692.4868,55,0,NA,count,692.4868,15,1,TRUE
V330455,57,MCV,15,692.4868,56,0,702.6023,count,697.5445500000001,15,1,TRUE
V330455,57,MAV,14,692.4868,55,0,NA,count,692.4868,14,1,TRUE
V330455,57,MAV,14,692.4868,56,0,702.6023,count,697.5445500000001,14,1,TRUE
V330458,59,MDF,7,NA,58,0,713.2181,count,713.2181,7,1,TRUE
V330458,59,MAF,6,NA,58,0,713.2181,count,713.2181,6,1,TRUE
V330458,60,MCV,17,NA,58,0,713.2181,count,713.2181,17,1,TRUE
V330458,60,MAV,10,NA,58,0,713.2181,count,713.2181,10,1,TRUE
V330458,60,MPT,4,NA,58,0,713.2181,count,713.2181,4,1,TRUE
V330461,63,MDS3,0,719.9806,62,1,708.5146,binary,714.2475999999999,1,1,TRUE
V330461,63,MDS2NA,1,719.9806,62,0,708.5146,binary,714.2475999999999,1,1,TRUE
V330461,63,MDS3NA,1,719.9806,62,0,708.5146,binary,714.2475999999999,1,1,TRUE
V330462,66,MDS3,0,725.887,64,1,NA,binary,725.887,1,1,TRUE
V330462,66,DS3,0,725.887,64,68,NA,continuous,725.887,68,0.09367849265794814,TRUE
V330462,66,MPT,0,725.887,65,5,704.409,count,715.1479999999999,5,1,TRUE
V330464,68,MPT,5,687.5173,67,0,708.8074,count,698.1623500000001,5,1,TRUE
V330466,70,MDS3,1,NA,69,0,702.519,binary,702.519,1,1,TRUE
V330466,70,DS3,101.8234,NA,69,0,702.519,continuous,702.519,101.8234,0.14494042154020034,TRUE
V330466,71,MDF,9,NA,69,0,702.519,count,702.519,9,1,TRUE
V330466,71,MAF,9,NA,69,0,702.519,count,702.519,9,1,TRUE
V330466,71,MCV,17,NA,69,0,702.519,count,702.519,17,1,TRUE
V330466,72,MPT,5,NA,69,0,702.519,count,702.519,5,1,TRUE
V330468,76,MDS3,1,714.6363,74,0,713.2685,binary,713.9524,1,1,TRUE
V330468,76,DS3,120.075,714.6363,74,0,713.2685,continuous,713.9524,120.075,0.168183481139639,TRUE
V330468,76,MDF,9,714.6363,74,0,713.2685,count,713.9524,9,1,TRUE
V330468,76,MAF,8,714.6363,74,0,713.2685,count,713.9524,8,1,TRUE
V330468,76,MCV,17,714.6363,74,0,713.2685,count,713.9524,17,1,TRUE
V330468,76,MAV,12,714.6363,74,0,713.2685,count,713.9524,12,1,TRUE
V330468,76,MPT,5,714.6363,74,0,713.2685,count,713.9524,5,1,TRUE
V330470,78,MDS2NA,1,694.2881,77,0,708.0113,binary,701.1496999999999,1,1,TRUE
V330470,78,MDS3NA,1,694.2881,77,0,708.0113,binary,701.1496999999999,1,1,TRUE
V330470,78,MPSP,2,694.2881,77,0,708.0113,count,701.1496999999999,2,1,TRUE
V330473,81,MDS3,0,688,79,1,NA,binary,688,1,1,TRUE
V330473,81,DS3,0,688,79,120.8119,NA,continuous,688,120.8119,0.17559869186046512,TRUE
V330473,81,MAV,0,688,79,12,NA,count,688,12,1,TRUE
V330473,81,MPT,0,688,79,4,NA,count,688,4,1,TRUE
V330473,81,MPSP,0,688,80,2,689.4055,count,688.7027499999999,2,1,TRUE
V330474,83,MDS2,1,702.2535,82,0,707.6722,binary,704.96285,1,1,TRUE
V330474,83,MDS3,1,702.2535,82,0,707.6722,binary,704.96285,1,1,TRUE
V330474,83,DS2,277.2003,702.2535,82,0,707.6722,continuous,704.96285,277.2003,0.39321263524737515,TRUE
V330474,83,DS3,116.8418,702.2535,82,0,707.6722,continuous,704.96285,116.8418,0.16574178341454449,TRUE
V330474,83,MAV,13,702.2535,82,0,707.6722,count,704.96285,13,1,TRUE
V330474,83,MPT,5,702.2535,82,0,707.6722,count,704.96285,5,1,TRUE
V330476,85,MDS3,1,712.8646,84,0,707.6298,binary,710.2472,1,1,TRUE
V330476,85,MDS1NA,1,712.8646,84,0,707.6298,binary,710.2472,1,1,TRUE
V330476,85,MDS2NA,1,712.8646,84,0,707.6298,binary,710.2472,1,1,TRUE
V330476,85,MPSPNA,1,712.8646,84,0,707.6298,binary,710.2472,1,1,TRUE
V330476,85,DS3,115.4777,712.8646,84,0,707.6298,continuous,710.2472,115.4777,0.16258803976981534,TRUE
V330476,85,PMX,145.2446,712.8646,84,89.958,707.6298,continuous,710.2472,55.28659999999999,0.07784134875857306,TRUE
V330481,91,MCV,13,694.0576,90,0,708.6353,count,701.34645,13,1,TRUE
V330483,93,MDS2,0,690.1043,92,1,691.238,binary,690.67115,1,1,TRUE
V330483,93,MDS3,0,690.1043,92,1,691.238,binary,690.67115,1,1,TRUE
V330483,93,DS2,0,690.1043,92,243.3927,691.238,continuous,690.67115,243.3927,0.3524002703746928,TRUE
V330483,93,DS3,0,690.1043,92,109.3435,691.238,continuous,690.67115,109.3435,0.15831485070717086,TRUE
V330483,93,MAV,13,690.1043,92,0,691.238,count,690.67115,13,1,TRUE
V330484,96,MDS3,1,679.0346,94,0,709.1629,binary,694.09875,1,1,TRUE
V330484,96,DS3,137.884,679.0346,94,0,709.1629,continuous,694.09875,137.884,0.19865184889037762,TRUE
V330484,96,MDF,10,679.0346,94,0,709.1629,count,694.09875,10,1,TRUE
V330484,96,MAF,9,679.0346,94,0,709.1629,count,694.09875,9,1,TRUE
V330484,96,MCV,18,679.0346,94,0,709.1629,count,694.09875,18,1,TRUE
V330490,101,MDS3,1,708.0706,99,0,697.6506,binary,702.8606,1,1,TRUE
V330490,101,DS3,70.4557,708.0706,99,0,697.6506,continuous,702.8606,70.4557,0.10024135653641703,TRUE
V330490,100,MCV,16,NA,99,0,697.6506,count,697.6506,16,1,TRUE
V330490,100,MAV,13,NA,99,0,697.6506,count,697.6506,13,1,TRUE
V330490,100,MPT,4,NA,99,0,697.6506,count,697.6506,4,1,TRUE
V330492,105,MDS3,0,NA,103,1,NA,binary,NA,1,1,TRUE
V330492,106,MDS3,0,686.3709,103,1,NA,binary,686.3709,1,1,TRUE
V330492,106,DS3,0,686.3709,103,105.7458,NA,continuous,686.3709,105.7458,0.1540650980395585,TRUE
V330492,105,MPT,0,NA,104,6,NA,count,NA,6,1,TRUE
V330492,106,MCV,17,686.3709,102,0,697.1485,count,691.7597000000001,17,1,TRUE
V330492,106,MCV,17,686.3709,103,0,NA,count,686.3709,17,1,TRUE
V330492,106,MCV,17,686.3709,104,0,NA,count,686.3709,17,1,TRUE
V330492,106,MAV,14,686.3709,102,0,697.1485,count,691.7597000000001,14,1,TRUE
V330492,106,MAV,14,686.3709,103,0,NA,count,686.3709,14,1,TRUE
V330492,106,MAV,14,686.3709,104,0,NA,count,686.3709,14,1,TRUE
V330492,106,MPT,0,686.3709,104,6,NA,count,686.3709,6,1,TRUE
V330492,106,MPSP,2,686.3709,102,0,697.1485,count,691.7597000000001,2,1,TRUE
V330492,106,MPSP,2,686.3709,103,0,NA,count,686.3709,2,1,TRUE
V330492,106,MPSP,2,686.3709,104,0,NA,count,686.3709,2,1,TRUE
V330493,109,MDS3,0,700.5826,107,1,NA,binary,700.5826,1,1,TRUE
