fish_id,has_significant_diff,num_overlapping_measures,num_exceeding_threshold,max_relative_diff
V330399_L39_1,FALSE,40,0,0.02563738454809196
V330607_L258_1,FALSE,5,0,0.023926722863032247
V330458_L98_1,FALSE,24,0,0.023835626156991807
V330949_L618_1,FALSE,9,0,0.0238277594577481
V330613_L264_1,FALSE,8,0,0.023827137203103362
V333053_L2908_1,FALSE,6,0,0.022726065405048086
V332244_L1982_1,FALSE,9,0,0.0226246535334795
V330788_L449_1,FALSE,16,0,0.021725318917497967
V330572_L221_1,FALSE,8,0,0.020780782486510677
V330934_L603_1,FALSE,7,0,0.018573783138660187
V330481_L122_1,FALSE,8,0,0.0185357750082003
V330826_L489_1,FALSE,9,0,0.014755450028339319
V330561_L209_1,FALSE,16,0,0.012743018206516469
V330954_L623_1,FALSE,7,0,0.012255580813048542
V330507_L149_1,FALSE,8,0,0.011230887749031776
V330937_L606_1,FALSE,8,0,0.010029427055368098
V330565_L214_1,FALSE,24,0,0.008538163884932873
V330924_L593_2,FALSE,8,0,0.0073835912237158
V330464_L104_1,FALSE,8,0,0.007161658029826443
V331553_L1270_1,FALSE,5,0,0.004024965695995609
V330388_L28_1,FALSE,8,0,0
V330461_L101_1,FALSE,5,0,0
V330470_L110_1,FALSE,6,0,0
V330504_L146_1,FALSE,8,0,0
V330576_L225_1,FALSE,8,0,0
V330590_L241_1,FALSE,5,0,0
V330594_L245_1,FALSE,5,0,0
V330634_L288_1,FALSE,7,0,0
V330700_L358_1,FALSE,13,0,0
V330718_L373_1,FALSE,8,0,0
V330748_L405_1,FALSE,8,0,0
V330777_L436_1,FALSE,5,0,0
V330853_L520_1,FALSE,5,0,0
V330863_L531_1,FALSE,5,0,0
V330942_L611_1,FALSE,5,0,0
V330959_L630_1,FALSE,4,0,0
V331205_L883_1,FALSE,8,0,0
V331465_L1173_1,FALSE,5,0,0
V332082_L1815_1,FALSE,10,0,0
V330400_L40_1,TRUE,33,NA,0.20381031451807946
V330363_L2_1,TRUE,32,NA,0.17399523731100944
V330492_L134_1,TRUE,46,NA,0.1540650980395585
V330397_L37_1,TRUE,92,NA,0.14493875050596142
V330620_L271_1,TRUE,32,NA,0.13563231836354103
V330533_L177_1,NA,48,NA,0
