"X","n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","fish_id","bin","part_type","CSTRAT","ISTRAT","YEAR","INT"
960,960,"V331149_L825_1_C.jpg",NA,587.8407,0,0,0,1,104.3072,0,1,152.3155,0,7,0,15,0,7,190.0737,0,NA,NA,0,NA,643.2915,NA,NA,607.6841,0,"V331149","L0825","C",NA,NA,NA,NA
961,961,"V331149_L825_1_P.jpg",5099.4812,625.7322,0,0,0,1,145.9863,0,1,157.4929,0,7,8,14,12,5,222.036,0,NA,NA,0,NA,774.9323,630.587,177.5387,642.2523,0,"V331149","L0825","P",NA,NA,NA,NA
964,964,"V331152_L828_1_C.jpg",4535.7813,510.9983,0,0,0,0,0,0,0,0,0,7,7,16,11,5,157.2768,0,NA,NA,0,NA,732,503.5077,101.9804,736.6627,0,"V331152","L0828","C",NA,NA,NA,NA
965,965,"V331152_L828_1_P.jpg",4606.5171,575.9275,0,0,0,0,0,0,0,0,0,0,0,16,10,5,148.4318,0,NA,NA,0,168.7602,690.9703,527.0598,98.7927,748.4277,NA,"V331152","L0828","P",NA,NA,NA,NA
969,969,"V331155_L831_1_C.jpg",2576.1617,313.1975,0,0,0,0,0,0,0,0,0,0,7,16,11,4,206.0413,0,NA,NA,0,144.3122,462.8661,240.7862,57.7062,720.0812,NA,"V331155","L0831","C",NA,NA,NA,NA
970,970,"V331155_L831_1_P.jpg",2592.7221,323.4923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331155","L0831","P",NA,NA,NA,NA
971,971,"V331155_L831_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,8,15,13,4,55.3173,0,NA,NA,0,104.0096,361.2603,390.0462,80.7775,722.8506,0,"V331155","L0831","P",NA,NA,NA,NA
979,979,"V331164_L840_1_C.jpg",NA,NA,0,0,0,1,128.2498,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,225.282,NA,NA,NA,732.5353,NA,"V331164","L0840","C",NA,NA,NA,NA
980,980,"V331164_L840_1_P.jpg",NA,571.8659,0,0,0,0,0,0,1,142.0422,0,9,8,17,0,4,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331164","L0840","P",NA,NA,NA,NA
981,981,"V331164_L840_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,NA,NA,0,NA,NA,649.3443,NA,718.7767,0,"V331164","L0840","P",NA,NA,NA,NA
1026,1026,"V331209_L887_1_C.jpg",NA,404.41,0,0,0,0,0,0,1,87.2067,0,10,7,16,12,5,247.4773,0,NA,NA,0,NA,355.0282,257.1089,NA,755.8155,0,"V331209","L0887","C",368.85,418.4,13690.484,13750
1027,1027,"V331209_L887_1_P.jpg",NA,436.8756,0,0,0,0,0,0,1,98.4073,0,0,0,0,0,4,232.5726,0,NA,NA,0,286.0559,392.9427,345.1174,156.5184,726.8796,NA,"V331209","L0887","P",368.85,418.4,13690.484,13750
1034,1034,"V331216_L894_1_C.jpg",NA,508.1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,NA,313.0367,0,763.3276,375.7193,NA,NA,720.225,NA,"V331216","L0894","C",555.4,231.85,7649.454,7750
1035,1035,"V331216_L894_1_P.jpg",NA,NA,1,139.5887,0,1,325.5657,0,1,119.7748,0,0,0,0,0,5,96.1873,0,NA,NA,0,NA,NA,NA,NA,737.811,0,"V331216","L0894","P",555.4,231.85,7649.454,7750
1039,1039,"V331220_L898_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,857.578,NA,735.1517,0,"V331220","L0898","C",531.5,255.75,8423.405,8500
1040,1040,"V331220_L898_1_P.jpg",NA,828.7976,0,0,0,1,439.0262,0,1,253.7794,0,9,0,17,11,5,265.0887,2,NA,NA,0,NA,NA,NA,NA,751.0313,0,"V331220","L0898","P",531.5,255.75,8423.405,8500
1043,1043,"V331223_L901_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,429.0105,NA,NA,712.2394,0,"V331223","L0901","C",370.25,417,13645.148,13750
1044,1044,"V331223_L901_1_P.jpg",3123.0231,370.4426,0,0,0,0,0,0,1,132.5443,0,5,7,16,12,4,106.066,0,NA,NA,0,183.393,235.5525,336.7625,99.4082,727.2139,NA,"V331223","L0901","P",370.25,417,13645.148,13750
1071,1071,"V331250_L929_1_C.jpg",4285.2398,541.8263,0,0,0,0,0,0,1,150.7846,0,8,0,16,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331250","L0929","C",478.6,308.65,10136.461,10250
1072,1072,"V331250_L929_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,169.7528,732.1748,0,"V331250","L0929","C",478.6,308.65,10136.461,10250
1073,1073,"V331250_L929_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,447.0906,543.2071,NA,725.9814,0,"V331250","L0929","P",478.6,308.65,10136.461,10250
1127,1127,"V331296_L977_1_C.jpg",NA,NA,0,NA,1,1,199.4492,0,1,118.6802,0,0,0,0,0,NA,NA,2,319.412,315.0143,0,675.0267,500.9192,499.957,NA,748.5406,NA,"V331296","L0977","C",370.65,416.6,13632.195,13750
1128,1128,"V331296_L977_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,352.9306,NA,0,571.183,442.7415,NA,NA,769.6915,NA,"V331296","L0977","P",370.65,416.6,13632.195,13750
1142,1142,"V331309_L990_1_C.jpg",NA,NA,0,0,0,1,205.7693,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,722.0783,0,"V331309","L0990","C",538.1,249.15,8209.678,8250
1143,1143,"V331309_L990_1_P.jpg",4578.3927,574.6389,0,0,0,0,0,0,1,293.3939,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331309","L0990","P",538.1,249.15,8209.678,8250
1144,1144,"V331309_L990_1_P.jpg",NA,NA,1,NA,0,0,0,0,0,0,0,8,7,17,12,6,156.7195,2,453.2781,461.8052,0,NA,NA,NA,NA,NA,0,"V331309","L0990","P",538.1,249.15,8209.678,8250
1145,1145,"V331309_L990_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,986.9316,826.6075,518.1062,218.1559,729.3024,0,"V331309","L0990","P",538.1,249.15,8209.678,8250
1189,1189,"V331348_L1034_1_P.jpg",NA,NA,0,0,0,0,0,0,1,88.6397,0,0,0,0,0,4,67.4166,0,NA,NA,0,NA,354.3177,358.8607,84.4808,709.2256,0,"V331348","L1034","P",NA,NA,NA,NA
1190,1190,"V331348_L1034_2_C.jpg",4181.7051,535.8622,0,0,0,0,0,0,1,103.846,0,9,7,17,11,5,99.0353,0,NA,NA,0,219.6725,667.8563,434.8977,147.187,735.3258,NA,"V331348","L1034","C",NA,NA,NA,NA
1226,1226,"V331385_L1084_1_C.jpg",3532.5404,490.3604,1,229.4559,0,1,316.7665,0,1,123.6932,0,8,7,16,12,6,114.6298,2,378.8681,354.1144,0,718.0599,548.467,429.5346,140.5205,702.9225,NA,"V331385","L1084","C",555.5,231.75,7646.216,7750
1227,1227,"V331385_L1084_1_P.jpg",NA,510.1648,1,225.0778,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331385","L1084","P",555.5,231.75,7646.216,7750
1228,1228,"V331385_L1084_1_P.jpg",NA,NA,0,0,0,1,301.5692,0,1,134.1641,0,8,0,17,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331385","L1084","P",555.5,231.75,7646.216,7750
1229,1229,"V331385_L1084_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5,140,0,NA,NA,0,NA,335.0104,363.8901,119.2812,705.8668,0,"V331385","L1084","P",555.5,231.75,7646.216,7750
1233,1233,"V331391_L1090_1_C.jpg",NA,NA,0,0,0,1,249.4474,0,1,99.4585,0,0,0,0,0,5,132.7403,0,NA,NA,0,128.8255,372.65,315.4172,132.8157,688.3517,NA,"V331391","L1090","C",425.05,362.2,11870.565,12000
1234,1234,"V331391_L1090_1_P.jpg",NA,361.8823,0,0,0,1,230.9026,0,1,101.5135,0,0,0,0,13,5,138.0326,0,NA,NA,0,160.8011,304.777,334.389,132.6122,683.2232,NA,"V331391","L1090","P",425.05,362.2,11870.565,12000
1272,1272,"V331433_L1141_1_C.jpg",NA,352.9618,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,645.1201,0,"V331433","L1141","C",442.9,344.35,11292.531,11500
1273,1273,"V331433_L1141_1_P.jpg",NA,333.7831,0,0,0,0,0,0,1,110.1454,0,9,7,17,9,6,114.0395,2,NA,267.4715,0,521.0077,432.8429,315.9272,NA,661.8044,NA,"V331433","L1141","P",442.9,344.35,11292.531,11500
1281,1281,"V331441_L1149_1_C.jpg",NA,NA,0,0,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,183.3576,432.2268,330.7204,NA,635.2606,NA,"V331441","L1149","C",398.1,389.15,12743.285,12750
1282,1282,"V331441_L1149_1_P.jpg",NA,NA,0,0,0,1,240.3934,0,1,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,422.8298,105.513,648.3124,0,"V331441","L1149","P",398.1,389.15,12743.285,12750
1305,1305,"V331459_L1167_1_C.jpg",NA,NA,0,0,0,0,0,0,1,135.4843,0,0,0,0,0,NA,191.0183,0,NA,NA,0,NA,NA,664.7255,140.8687,690.6113,0,"V331459","L1167","C",440.3,346.95,11376.726,11500
1306,1306,"V331459_L1167_1_P.jpg",NA,649.1422,0,NA,1,0,NA,1,0,0,0,0,7,0,0,0,NA,0,NA,NA,0,161.1366,NA,524.2452,NA,NA,0,"V331459","L1167","P",440.3,346.95,11376.726,11500
1307,1307,"V331459_L1167_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,696.1358,0,"V331459","L1167","P",440.3,346.95,11376.726,11500
1338,1338,"V331489_L1201_1_C.jpg",NA,353.2864,0,0,0,0,0,0,1,73.5391,0,0,0,16,12,NA,112.641,0,NA,NA,0,NA,369.432,279.4852,NA,682.4954,0,"V331489","L1201","C",403,384.25,12584.608,12750
1339,1339,"V331489_L1201_1_P.jpg",NA,NA,0,0,0,0,0,0,1,109.4897,0,0,0,0,0,NA,120.4159,0,NA,NA,0,NA,NA,NA,88.8144,700.1371,0,"V331489","L1201","P",403,384.25,12584.608,12750
1353,1353,"V331502_L1215_1_C.jpg",NA,357.2655,0,0,0,0,0,0,1,104.3552,0,0,0,0,0,5,144.281,0,NA,NA,0,219.7385,364.7931,361.5093,142.3025,684.7167,NA,"V331502","L1215","C",402.8,384.45,12591.085,12750
1354,1354,"V331502_L1215_1_P.jpg",2939.4397,360.0415,0,0,0,0,0,0,1,109.2016,0,0,0,18,12,4,141.2869,0,NA,NA,0,NA,385.2402,362.4914,NA,693.4155,0,"V331502","L1215","P",402.8,384.45,12591.085,12750
1365,1365,"V331507_L1220_1_C.jpg",3166.1955,404.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,123.3288,460.6539,366.7492,145.3994,689.8826,NA,"V331507","L1220","C",403.5,383.75,12568.417,12750
1366,1366,"V331507_L1220_1_P.jpg",NA,NA,0,0,0,1,226.8127,0,1,87.2067,0,0,0,0,0,6,65.8635,0,NA,NA,0,NA,NA,NA,NA,572.7722,0,"V331507","L1220","P",403.5,383.75,12568.417,12750
1373,1373,"V331514_L1227_1_C.jpg",NA,553.7262,0,0,0,0,0,0,1,108.6646,0,0,0,0,10,NA,NA,0,NA,NA,0,NA,NA,NA,216.3331,677.4024,0,"V331514","L1227","C",402.9,384.35,12587.847,12750
1374,1374,"V331514_L1227_1_P.jpg",NA,535.5007,0,0,0,0,0,0,1,144.1249,0,8,6,17,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,676.4983,0,"V331514","L1227","P",402.9,384.35,12587.847,12750
1392,1392,"V331532_L1248_1_C.jpg",3050.5606,392.2141,0,0,0,0,0,0,1,102.2155,0,8,8,16,14,4,97.4064,0,NA,NA,0,211.0924,484.4626,345.1377,137.7534,674.6733,NA,"V331532","L1248","C",404.2,383.05,12545.749,12750
1393,1393,"V331532_L1248_1_P.jpg",3049.1883,377.128,0,0,0,0,0,0,1,110.1454,0,10,8,17,0,NA,129.3136,0,NA,NA,0,NA,NA,NA,138.2932,667.869,0,"V331532","L1248","P",404.2,383.05,12545.749,12750
