"fish_id","total_flags","flagged_measurements","C_SL","P_SL","C_CAV","P_CAV","C_DS1","P_DS1","C_DS2","P_DS2","C_DS3","P_DS3","C_LPT","P_LPT","C_PSP.L","P_PSP.L","C_PSP.R","P_PSP.R","C_TPG","P_TPG","C_ECT","P_ECT","C_CLE","P_CLE","C_PMX","P_PMX"
"V332390_L2132_1",10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE",3640.7543,NA,426.9698,310.419,252.2856,289.6981,318.6926,329.6862,188.9047,175.391,141.1276,139.169,391.658,315.6992,339.4775,334.3486,689.8956,477.9425,442.0905,520.9472,416.7733,431.5206,120.9339,NA
"V330571_L220_1",9,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT, CLE",NA,1911.3983,231.158,238.1184,0,0,0,174.631,83.5703,98.7927,50.9902,63.561,0,0,0,0,NA,NA,320.0062,280.5851,276.8465,297.8456,NA,70.9366
"V330674_L329_1",9,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT",NA,NA,381.2364,347.0176,0,0,0,0,115.9181,0,85.3815,108.9036,0,0,0,0,134.4656,167.0449,262.6671,324.0309,NA,NA,93.1933,NA
"V330683_L340_1",9,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT, CLE",NA,NA,424.5379,403.9453,0,0,0,0,130.9733,0,111.6468,75.2396,0,0,0,0,NA,NA,505.5067,331.3608,415.8004,399.2819,NA,137.6735
"V330693_L350_1",9,"SL, CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, PMX",1823.1282,1819.5745,241.5473,219.173,0,0,137.4627,162.6038,86.3481,80.2247,42.0476,58.3095,0,0,0,0,122.262,NA,NA,244.8265,NA,165.469,72.6911,44.0454
"V330742_L399_1",9,"SL, CAV, DS1, DS2, DS3, PSP.L, PSP.R, TPG, PMX",3791.2109,4081.4292,518.2702,522.8476,0,0,0,0,128.9961,119.3315,121.6553,NA,0,0,0,0,200,208.0385,544.0147,NA,NA,NA,142.0422,208.6912
"V330786_L447_1",9,"DS1, DS2, DS3, PSP.L, PSP.R, TPG, ECT, CLE, PMX",NA,NA,490.4941,NA,0,0,337.6166,300.7191,133.154,0,132.8495,NA,0,0,0,0,144,152.0526,442.7211,536.537,396.2953,395.3732,128.1601,149.3452
"V330908_L577_1",9,"DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE",NA,NA,NA,342.2289,0,0,315.3569,262.9677,125.1759,121.6224,121.5648,172.6268,0,0,0,0,132.8495,216.9239,372.9303,421.0701,321.9938,345.3983,NA,NA
"V331092_L767_1",9,"DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE",NA,3128.156,389.6859,NA,0,0,285.8199,330.9381,81.0555,152.7351,133.66,149.3452,0,0,0,0,362.3051,459.0773,432.1666,208.6912,312.0144,439.1446,NA,108
"V331209_L887_1",9,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT, CLE",NA,NA,404.41,436.8756,0,0,0,0,87.2067,98.4073,247.4773,232.5726,0,0,0,0,NA,286.0559,355.0282,392.9427,257.1089,345.1174,NA,156.5184
"V331502_L1215_1",9,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT, CLE",NA,2939.4397,357.2655,360.0415,0,0,0,0,104.3552,109.2016,144.281,141.2869,0,0,0,0,219.7385,NA,364.7931,385.2402,361.5093,362.4914,142.3025,NA
"V331532_L1248_1",9,"SL, CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, PMX",3050.5606,3049.1883,392.2141,377.128,0,0,0,0,102.2155,110.1454,97.4064,129.3136,0,0,0,0,211.0924,NA,484.4626,NA,345.1377,NA,137.7534,138.2932
"V332843_L2698_1",9,"SL, CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, CLE",3195.0394,3230.8384,393.4524,410.5551,0,0,0,0,53.4135,104.9571,82.5409,112.0089,0,0,0,0,NA,NA,NA,563.7606,412.5736,485.4163,152.9706,NA
"V330557_L203_1",8,"CAV, DS1, DS2, DS3, PSP.L, PSP.R, ECT, PMX",NA,4448.8866,592.2059,585.1762,0,0,301.7018,240.6657,122.4418,0,NA,144.5545,0,0,0,0,NA,185.2998,597.1265,543.0727,NA,524.1832,154.5057,101.2719
"V330560_L206_1",8,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG",NA,4940.753,610.6034,577.0612,0,0,262.7206,0,136.4177,0,176.0202,128.0625,0,0,0,0,180.0197,214.4015,309.6377,NA,450.4733,NA,NA,97.4064
"V330620_L271_1",8,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT",NA,NA,469.5178,482.2837,0,0,0,0,74.4312,96.933,84.214,114.3547,0,0,0,0,240.2166,NA,453.5416,543.7371,NA,NA,NA,NA
"V330644_L298_1",8,"DS1, DS2, DS3, PSP.L, PSP.R, ECT, CLE, PMX",NA,3455.8401,NA,380.5347,0,0,0,251.0339,0,0,NA,88.2836,0,0,0,0,NA,116.6919,415.389,500.6046,401.542,399.4621,176.2385,82.7587
