"fish_id","C_MDS1","P_MDS1","NA_MDS1","C_MDS2","P_MDS2","NA_MDS2","C_MDS3","P_MDS3","NA_MDS3","C_MPSP","P_MPSP","NA_MPSP","C_MDS1NA","P_MDS1NA","NA_MDS1NA","C_MDS2NA","P_MDS2NA","NA_MDS2NA","C_MDS3NA","P_MDS3NA","NA_MDS3NA","C_MPSPNA","P_MPSPNA","NA_MPSPNA","C_MDF","P_MDF","NA_MDF","C_MAF","P_MAF","NA_MAF","C_MCV","P_MCV","NA_MCV","C_MAV","P_MAV","NA_MAV","C_MPT","P_MPT","NA_MPT","C_SL","P_SL","NA_SL","C_CAV","P_CAV","NA_CAV","C_DS1","P_DS1","NA_DS1","C_DS2","P_DS2","NA_DS2","C_DS3","P_DS3","NA_DS3","C_LPT","P_LPT","NA_LPT","C_PSP.L","P_PSP.L","NA_PSP.L","C_PSP.R","P_PSP.R","NA_PSP.R","C_TPG","P_TPG","NA_TPG","C_ECT","P_ECT","NA_ECT","C_CLE","P_CLE","NA_CLE","C_PMX","P_PMX","NA_PMX","C_Scale_10mm","P_Scale_10mm","NA_Scale_10mm","C_row_count","P_row_count","NA_row_count","flag_SL","flag_CAV","flag_DS1","flag_DS2","flag_DS3","flag_LPT","flag_PSP.L","flag_PSP.R","flag_TPG","flag_ECT","flag_CLE","flag_PMX","total_flags","flagged_measurements"
"V330400_L40_1",0,0,NA,0,0,NA,1,0,NA,2,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,8,0,NA,7,0,NA,14,0,NA,12,0,NA,5,0,NA,3580.2145,3601.3975,NA,422.7414,NA,NA,0,0,NA,0,0,NA,0,0,NA,88.4081,NA,NA,0,0,NA,0,0,NA,565.2787,NA,NA,578.1661,NA,NA,495.7177,NA,NA,78.5875,NA,NA,693.1234,692.0116,NA,2,2,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,"SL, DS1, DS2, DS3, PSP.L, PSP.R"
"V330404_L44_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8,NA,NA,7,NA,NA,16,NA,NA,11,NA,NA,6,NA,NA,3692.0494,NA,NA,474.6936,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,109.1788,NA,NA,0,NA,NA,0,NA,NA,681.5541,NA,NA,620.6319,NA,NA,NA,NA,NA,130.384,NA,NA,702.5667,NA,NA,2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V330405_L45_1",0,0,NA,1,0,NA,1,0,NA,2,2,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,8,0,NA,8,0,NA,14,0,NA,12,0,NA,5,0,NA,4144.4853,NA,NA,501.3472,NA,NA,0,0,NA,231.3871,0,NA,0,0,NA,145.1206,NA,NA,0,NA,NA,0,264.1969,NA,657.3462,NA,NA,551.6013,NA,NA,454.3831,NA,NA,100.3195,NA,NA,695.9454,700.7326,NA,6,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"DS1, DS2, DS3, PSP.R"
"V330407_L47_1",0,0,NA,1,0,NA,0,0,NA,2,0,NA,0,0,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,3994.4653,NA,NA,NA,NA,NA,0,0,NA,270.7028,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,739.7838,NA,NA,789.8962,NA,NA,NA,193.4942,NA,686.1953,686.743,NA,2,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330411_L51_1",0,0,NA,1,0,NA,1,0,NA,2,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,400.4997,0,NA,172.0465,0,NA,NA,NA,NA,513.8249,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695.8448,NA,1,1,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"DS2, DS3, PSP.L"
"V330424_L64_1",1,0,NA,1,0,NA,1,0,NA,2,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,8,0,NA,6,0,NA,18,0,NA,10,0,NA,5,0,NA,NA,NA,NA,479.7707,NA,NA,266.3682,0,NA,281.3965,0,NA,186.6869,0,NA,171.2367,NA,NA,0,0,NA,0,0,NA,660.6134,NA,NA,444.4255,NA,NA,293.0188,NA,NA,NA,NA,NA,702.1602,709.129,NA,3,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330447_L87_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700.5826,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V330450_L90_1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.3765,NA,NA,690.2753,NA,NA,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V330450_L90_2",NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,11,NA,NA,5,NA,NA,NA,NA,NA,638.1455,NA,NA,0,NA,NA,299.8666,NA,NA,164.4384,NA,NA,126.3012,NA,NA,0,NA,NA,0,NA,NA,192.1666,NA,NA,430.8132,NA,NA,514.4006,NA,NA,89.4427,NA,NA,685.6238,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V330455_L95_1",0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,15,NA,0,14,NA,0,0,NA,NA,NA,NA,398.9767,NA,NA,0,0,NA,0,0,NA,0,86.3771,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,356.8991,NA,364.5339,286.2447,NA,NA,42.107,NA,702.6023,692.4868,NA,2,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,6,"DS1, DS2, DS3, PSP.L, PSP.R, CLE"
"V330458_L98_1",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,7,NA,0,6,NA,0,17,NA,0,10,NA,0,4,NA,NA,4787.8115,NA,NA,578.802,NA,0,0,NA,0,0,NA,0,0,NA,NA,172.676,NA,0,0,NA,0,0,NA,NA,259.9461,NA,NA,587.6402,NA,NA,NA,NA,240.4683,NA,NA,713.2181,707.8538,NA,1,3,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330461_L101_1",0,0,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,0,1,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,107.8703,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708.5146,719.9806,NA,1,1,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DS1, PSP.L, PSP.R"
"V330462_L102_1",0,0,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,5,0,NA,NA,NA,NA,397.5113,NA,NA,0,0,NA,0,0,NA,68,0,NA,86.8304,NA,NA,0,0,NA,0,0,NA,133.0198,NA,NA,292.7267,NA,NA,NA,NA,NA,NA,NA,NA,704.409,725.887,NA,2,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330464_L104_1",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,126.5701,NA,0,0,NA,0,0,NA,NA,172.7078,NA,NA,327.7682,NA,NA,NA,NA,NA,NA,NA,708.8074,687.5173,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330466_L106_1",0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,9,NA,0,9,NA,0,17,NA,0,0,NA,0,5,NA,NA,4012.4849,NA,NA,NA,NA,0,0,NA,0,0,NA,0,101.8234,NA,NA,142.2252,NA,0,0,NA,0,0,NA,155.0629,160.4244,NA,NA,413.4731,NA,588.8022,NA,NA,NA,143.0245,NA,702.519,619.9481,NA,1,4,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,6,"DS1, DS2, DS3, PSP.L, PSP.R, TPG"
"V330468_L108_1",0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,9,NA,0,8,NA,0,17,NA,0,12,NA,0,5,NA,NA,3063.8903,NA,NA,371.5762,NA,0,0,NA,0,0,NA,0,0,NA,NA,99.7246,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,479.4372,NA,NA,300.3748,NA,NA,49.6588,NA,713.2685,714.6363,NA,1,2,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330470_L110_1",0,0,NA,0,0,NA,0,0,NA,0,2,NA,0,0,NA,0,1,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,229.0589,NA,0,289.0329,NA,NA,NA,NA,NA,502.9075,NA,NA,359.5608,NA,NA,NA,NA,708.0113,694.2881,NA,1,1,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DS1, PSP.L, PSP.R"
"V330473_L113_1",0,0,NA,0,0,NA,1,0,NA,2,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,12,0,NA,4,0,NA,NA,NA,NA,535.8274,NA,NA,0,0,NA,0,0,NA,120.8119,0,NA,89.4427,NA,NA,0,0,NA,0,0,NA,589.5354,NA,NA,NA,NA,NA,636.5532,NA,NA,116.4818,NA,NA,689.4055,688,NA,2,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330474_L114_1",0,0,NA,0,1,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,13,NA,0,5,NA,NA,NA,NA,NA,404.9763,NA,0,0,NA,0,277.2003,NA,0,116.8418,NA,NA,110.3087,NA,0,0,NA,0,0,NA,NA,169.2572,NA,NA,400.7842,NA,NA,323.444,NA,NA,67.9117,NA,707.6722,702.2535,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330476_L116_1",0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,1,NA,0,1,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,388.5271,NA,0,NA,NA,0,NA,NA,0,115.4777,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.958,145.2446,NA,707.6298,712.8646,NA,1,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,"DS3, PMX"
"V330480_L120_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,16,NA,NA,12,NA,NA,0,NA,NA,NA,NA,NA,476.8604,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,550.1309,NA,NA,612.0163,NA,NA,NA,NA,NA,192.333,NA,NA,708.0113,NA,NA,4,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V330481_L122_1",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,13,NA,0,0,NA,0,0,NA,NA,NA,NA,496.1181,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708.6353,694.0576,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330483_L125_1",0,0,NA,1,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,13,NA,0,5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,243.3927,0,NA,109.3435,0,NA,NA,172.7021,NA,0,0,NA,0,0,NA,NA,141.5097,NA,NA,407.8787,NA,NA,NA,NA,NA,NA,NA,691.238,690.1043,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330484_L126_1",0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,10,NA,0,9,NA,0,18,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,568.7825,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709.1629,679.0346,NA,1,2,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330488_L130_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,540.0207,NA,NA,0,NA,NA,0,NA,NA,163.2176,NA,NA,149.3452,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,632.5694,NA,NA,596.8584,NA,NA,NA,NA,NA,720.8994,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V330489_L131_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,8,NA,NA,17,NA,NA,12,NA,NA,4,NA,NA,2782.6306,NA,NA,330.8426,NA,NA,0,NA,NA,0,NA,NA,109.2016,NA,NA,138,NA,NA,0,NA,NA,0,NA,NA,120.1499,NA,NA,354,NA,NA,388.2074,NA,NA,61.8466,NA,NA,707.2652,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V330490_L132_1",0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,16,NA,0,13,NA,0,4,NA,1954.96,NA,NA,327.7899,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,269.0725,NA,NA,201.1368,NA,NA,50.9902,NA,697.6506,708.0706,NA,1,2,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330492_L134_1",0,0,NA,0,0,NA,1,0,NA,0,2,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,17,NA,0,14,NA,6,0,NA,NA,3340.7893,NA,NA,395.9624,NA,0,0,NA,0,0,NA,0,0,NA,134.7264,NA,NA,0,0,NA,0,0,NA,NA,489.6897,NA,NA,349.1361,NA,NA,302.1672,NA,NA,88.2836,NA,697.1485,686.3709,NA,3,2,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330493_L135_1",0,0,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,12,0,NA,0,0,NA,NA,NA,NA,466.2384,NA,NA,0,0,NA,0,0,NA,135.3514,0,NA,NA,NA,NA,0,0,NA,0,0,NA,227.4379,NA,NA,412.0777,NA,NA,423.7924,NA,NA,88.3629,NA,NA,696.7819,700.5826,NA,2,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330494_L136_1",0,0,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,5,0,NA,NA,NA,NA,353.2949,NA,NA,0,0,NA,0,0,NA,110.4975,0,NA,93.1428,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.0727,NA,NA,713.9811,685.9738,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
