UCMP #,L -SPEC,STRAT (cm),PS,DSP,PT,CT,CSTRAT,ISTRAT,YEAR,INT,REGURG
,1087,457.6,3,        .   ,        .   ,        .   ,440.8,346.45,11360.535,11500,
,1088,580.4,3,2,5,2,554.5,232.75,7678.599,7750,
,1089,505.3,1.8,1,6,5,482.5,304.75,10010.168,10250,
,1090,441.7,1,2,5,3,425.05,362.2,11870.565,12000,
,1091,580.5,3,1,6,2,554.6,232.65,7675.36,7750,
,1092,461.2,1,1,5,2,444.4,342.85,11243.956,11250,
,1093,544.5,        .   ,        .   ,        .   ,        .   ,518.7,268.55,8837.907,9000,
,1094,411.9,        .   ,        .   ,        .   ,        .   ,395.3,391.95,12833.957,13000,
,1095,580.6,3,1,5,3,554.7,232.55,7672.122,7750,
,1096,398.7,2,0,6,4,382.65,404.6,13243.6,13250,
,1097,397.7,1,1,5,2,381.65,405.6,13275.983,13500,
,1098.1,409.7,1,1,5,2,393.1,394.15,12905.199,13000,
,1098.2,409.7,1,1,5,2,393.1,394.15,12905.199,13000,
,1099.1,398.7,3,2,5,2,382.65,404.6,13243.6,13250,
,1099.2,398.7,1,1,5,3,382.65,404.6,13243.6,13250,
,1099.3,398.7,1,        .   ,        .   ,        .   ,382.65,404.6,13243.6,13250,
,1100,460.9,1,        .   ,        .   ,        .   ,444.1,343.15,11253.671,11500,
,1101,504.1,2.2,2,7,5,485.9,301.35,9900.066,10000,
,1102,560.4,3,0,5,2,534.5,252.75,8326.257,8500,
,1103,544.5,        .   ,        .   ,        .   ,        .   ,518.7,268.55,8837.907,9000,
,1104,409.5,        .   ,        .   ,        .   ,        .   ,392.9,394.35,12911.676,13000,
,1105,544.5,        .   ,        .   ,        .   ,        .   ,518.7,268.55,8837.907,9000,
,1106,409.5,1,2,5,3,392.9,394.35,12911.676,13000,
,1107,504.1,3,0,6,2,485.9,301.35,9900.066,10000,2
,1108,544.5,        .   ,        .   ,        .   ,        .   ,518.7,268.55,8837.907,9000,
,1109,544.5,        .   ,        .   ,        .   ,        .   ,518.7,268.55,8837.907,9000,
,1110,413.4,1,1,5,3,396.8,390.45,12785.382,13000,
,1111,606.9,        .   ,        .   ,        .   ,        .   ,580.5,206.75,6836.643,7000,2
,1112,396.4,1,1,5,2,380.35,406.9,13318.081,13500,
,1113,397.8,1,1,5,2,381.75,405.5,13272.745,13500,
,1114,606.1,3,2,6,5,579.7,207.55,6862.55,7000,
,1115,494.7,1,1,5,2,476.5,310.75,10204.465,10250,
,1116,494.7,1,1,5,2,476.5,310.75,10204.465,10250,
,1117,413.8,        .   ,        .   ,        .   ,        .   ,397.2,390.05,12772.429,13000,
,1118,494.7,2.4,1,        .   ,        .   ,476.5,310.75,10204.465,10250,
,1119,544.5,        .   ,        .   ,        .   ,        .   ,518.7,268.55,8837.907,9000,
,1120,414.1,1,        .   ,        .   ,        .   ,397.5,389.75,12762.714,13000,
,1121,395.7,        .   ,        .   ,        .   ,        .   ,379.65,407.6,13340.749,13500,
,1122,494.7,1,1,6,2,476.5,310.75,10204.465,10250,
,1123,415.3,1,1,5,2,398.7,388.55,12723.855,12750,
,1124,415.5,2.2,2,5,3,398.9,388.35,12717.378,12750,
,1125,414.5,        .   ,        .   ,        .   ,        .   ,397.9,389.35,12749.761,12750,
,1126,414.6,1,1,6,3,398,389.25,12746.523,12750,
,1127,415,1,1,5,2,398.4,388.85,12733.57,12750,
,1128,414.7,1,1,5,2,398.1,389.15,12743.285,12750,
,1129,413.3,        .   ,        .   ,        .   ,        .   ,396.7,390.55,12788.621,13000,
,1130,461,1,1,5,3,444.2,343.05,11250.433,11500,
,1131,460.7,2.4,        .   ,        .   ,        .   ,443.9,343.35,11260.148,11500,
,1132,458.3,1,1,5,2,441.5,345.75,11337.867,11500,
,1133,413.6,        .   ,        .   ,        .   ,        .   ,397,390.25,12778.906,13000,
,1134,413.2,1,0,5,2,396.6,390.65,12791.859,13000,
,1135,413,1,2,5,2,396.4,390.85,12798.335,13000,
,1136,461,2.4,1,6,4,444.2,343.05,11250.433,11500,4
,1137,461.9,3,1,6,2,445.1,342.15,11221.288,11250,
,1138,459.9,0,0,5,2,443.1,344.15,11286.054,11500,
,1139,413.9,1.4,0,4,2,397.3,389.95,12769.191,13000,
,1140,412.6,1,2,5,3,396,391.25,12811.289,13000,
,1141,459.7,3,1,6,2,442.9,344.35,11292.531,11500,
,1142,415.1,1,1,6,2,398.5,388.75,12730.331,12750,
,1143,460.7,3,        .   ,        .   ,        .   ,443.9,343.35,11260.148,11500,
,1144,413,2.2,1,5,3,396.4,390.85,12798.335,13000,
,1145,412.9,1,0,4,1,396.3,390.95,12801.574,13000,2
,1146,460.7,3,2,5,3,443.9,343.35,11260.148,11500,
,1147,413.1,2,1,5,2,396.5,390.75,12795.097,13000,
,1148.1,414.4,2.2,2,5,3,397.8,389.45,12752.999,13000,
,1148.2,414.4,2,0,5,3,397.8,389.45,12752.999,13000,
,1149,414.7,1,        .   ,        .   ,        .   ,398.1,389.15,12743.285,12750,
,1150,460.7,1,1,5,2,443.9,343.35,11260.148,11500,
,1151,416.4,        .   ,1,5,2,399.8,387.45,12688.234,12750,
,1152,416.5,1,2,6,4,399.9,387.35,12684.995,12750,
,1153.1,414.6,        .   ,        .   ,        .   ,        .   ,398,389.25,12746.523,12750,3
,1153.2,414.6,1,1,5,2,398,389.25,12746.523,12750,
,1153.3,414.6,2.4,        .   ,        .   ,        .   ,398,389.25,12746.523,12750,
,1153.4,414.6,2,        .   ,        .   ,        .   ,398,389.25,12746.523,12750,
,1153.5,414.6,1,1,        .   ,        .   ,398,389.25,12746.523,12750,
,1154,415.1,        .   ,1,6,2,398.5,388.75,12730.331,12750,
,1155,414.4,3,1,5,2,397.8,389.45,12752.999,13000,
,1156,415.7,        .   ,        .   ,        .   ,        .   ,399.1,388.15,12710.902,12750,
,1157,416.2,1,1,5,2,399.6,387.65,12694.71,12750,
,1158,457.7,3,2,5,2,440.9,346.35,11357.296,11500,
,1159,460.7,3,1,5,2,443.9,343.35,11260.148,11500,
,1160,415.9,1,        .   ,        .   ,        .   ,399.3,387.95,12704.425,12750,
,1161,414.9,1,1,5,2,398.3,388.95,12736.808,12750,
,1162,414.9,2.2,2,        .   ,        .   ,398.3,388.95,12736.808,12750,
,1163,415.1,        .   ,        .   ,        .   ,        .   ,398.5,388.75,12730.331,12750,
,1164,414.8,1,        .   ,        .   ,        .   ,398.2,389.05,12740.046,12750,
,1165.1,416.2,1,2,6,3,399.6,387.65,12694.71,12750,
,1165.2,416.2,1,2,6,4,399.6,387.65,12694.71,12750,
,1166,416.1,        .   ,        .   ,        .   ,        .   ,399.5,387.75,12697.948,12750,
,1167,457.1,2.4,        .   ,        .   ,        .   ,440.3,346.95,11376.726,11500,
,1168,416,1,1,6,2,399.4,387.85,12701.187,12750,2
,1169,420.8,3,        .   ,        .   ,        .   ,404.2,383.05,12545.749,12750,
,1170,415.8,2.2,1,        .   ,        .   ,399.2,388.05,12707.663,12750,
,1171,416.2,1,        .   ,        .   ,        .   ,399.6,387.65,12694.71,12750,
,1172.1,416.2,1,3,5,3,399.6,387.65,12694.71,12750,
,1172.2,416.2,2.2,1,5,2,399.6,387.65,12694.71,12750,
,1173,416.2,1,2,        .   ,        .   ,399.6,387.65,12694.71,12750,3
,1174.1,416.2,1,2,5,3,399.6,387.65,12694.71,12750,
,1174.2,416.2,        .   ,1,5,2,399.6,387.65,12694.71,12750,
,1175,416.2,3,1,6,2,399.6,387.65,12694.71,12750,
,1176,415.9,        .   ,        .   ,        .   ,        .   ,399.3,387.95,12704.425,12750,
,1177,416.2,        .   ,        .   ,        .   ,        .   ,399.6,387.65,12694.71,12750,
,1178,461.2,        .   ,        .   ,        .   ,        .   ,444.4,342.85,11243.956,11250,
,1179,460.1,1,2,5,2,443.3,343.95,11279.577,11500,
,1180,460.9,3,0,6,2,444.1,343.15,11253.671,11500,
,1181,462.9,        .   ,        .   ,        .   ,        .   ,446.1,341.15,11188.905,11250,
,1182,422.3,1,1,5,2,405.7,381.55,12497.175,12500,3
,1183,467.5,3,1,5,2,450.7,336.55,11039.944,11250,
,1184,417.7,1,1,6,3,401.1,386.15,12646.136,12750,
,1185,462.6,        .   ,        .   ,        .   ,        .   ,445.8,341.45,11198.62,11250,2
,1186,468.5,2.6,        .   ,        .   ,        .   ,451.7,335.55,11007.561,11250,
,1187,468,3,1,6,2,451.2,336.05,11023.752,11250,
,1188,416.9,3,1,5,2,400.3,386.95,12672.042,12750,
,1189,416.9,1,        .   ,        .   ,        .   ,400.3,386.95,12672.042,12750,
,1190,468.2,1,1,5,3,451.4,335.85,11017.276,11250,
,1191,416.2,        .   ,        .   ,        .   ,        .   ,399.6,387.65,12694.71,12750,3
,1192,463.7,3,        .   ,        .   ,        .   ,446.9,340.35,11162.999,11250,
,1193,466.4,3,2,5,2,449.6,337.65,11075.565,11250,
,1194,469.5,1,1,5,2,452.15,335.1,10992.989,11000,
,1195,416.7,1,1,        .   ,        .   ,400.1,387.15,12678.519,12750,
,1196,467.5,2.2,        .   ,        .   ,        .   ,450.7,336.55,11039.944,11250,
,1197,417.8,1,2,5,3,401.2,386.05,12642.898,12750,
,1198,417.7,1,2,5,2,401.1,386.15,12646.136,12750,
,1199,467.4,2.2,1,5,2,450.6,336.65,11043.182,11250,
,1200,419,        .   ,1,5,2,402.4,384.85,12604.038,12750,3
,1201,419.6,1,1,5,2,403,384.25,12584.608,12750,
,1202.1,467.7,1.8,0,5,3,450.9,336.35,11033.467,11250,
,1202.2,467.7,3,1,6,5,450.9,336.35,11033.467,11250,
,1203,418.8,1,        .   ,        .   ,        .   ,402.2,385.05,12610.515,12750,
,1204,418.8,1,1,5,2,402.2,385.05,12610.515,12750,
,1205,467.9,2.2,1,        .   ,        .   ,451.1,336.15,11026.991,11250,
,1206,466.3,3,1,        .   ,        .   ,449.5,337.75,11078.803,11250,
,1207,418.9,        .   ,        .   ,        .   ,        .   ,402.3,384.95,12607.276,12750,
,1208,419,3,1,5,2,402.4,384.85,12604.038,12750,
,1209,468,3,2,5,2,451.2,336.05,11023.752,11250,
,1210,418.6,        .   ,        .   ,        .   ,        .   ,402,385.25,12616.991,12750,
,1211,418.7,1,1,5,2,402.1,385.15,12613.753,12750,
,1212,419.9,        .   ,1,5,2,403.3,383.95,12574.893,12750,
,1213,418.5,2.4,1,5,3,401.9,385.35,12620.23,12750,
,1214,419.4,1,1,5,2,402.8,384.45,12591.085,12750,
,1215,419.4,1,1,5,2,402.8,384.45,12591.085,12750,
,1216.1,419.4,1,        .   ,        .   ,        .   ,402.8,384.45,12591.085,12750,3
,1216.2,419.4,1,1,5,2,402.8,384.45,12591.085,12750,
,1216.3,419.4,1,2,6,4,402.8,384.45,12591.085,12750,
,1216.4,419.4,1,2,6,2,402.8,384.45,12591.085,12750,
,1216.5,419.4,1,1,1,1,402.8,384.45,12591.085,12750,
,1217,420.2,1,2,6,4,403.6,383.65,12565.179,12750,
,1218,419,        .   ,1,5,3,402.4,384.85,12604.038,12750,
,1219,420.1,2.4,1,5,2,403.5,383.75,12568.417,12750,2
,1220,420.1,1,2,6,3,403.5,383.75,12568.417,12750,
,1221,420.1,1,1,6,2,403.5,383.75,12568.417,12750,
,1222,462.9,1,        .   ,        .   ,        .   ,446.1,341.15,11188.905,11250,
,1223,420.7,1,        .   ,        .   ,        .   ,404.1,383.15,12548.987,12750,
,1224,466.5,3,1,5,3,449.7,337.55,11072.327,11250,3
,1225,465,3,1,5,2,448.2,339.05,11120.901,11250,
,1226,418.3,3,1,6,2,401.7,385.55,12626.706,12750,
,1227,419.5,1,1,5,2,402.9,384.35,12587.847,12750,
,1228,420,1,1,5,2,403.4,383.85,12571.655,12750,
,1229,468,2,1,        .   ,        .   ,451.2,336.05,11023.752,11250,
,1230,468,1,3,6,3,451.2,336.05,11023.752,11250,2
,1231,419.6,3,1,5,2,403,384.25,12584.608,12750,
,1232,418.1,        .   ,        .   ,        .   ,        .   ,401.5,385.75,12633.183,12750,3
,1233,418.1,1.8,1,5,3,401.5,385.75,12633.183,12750,
,1234,418.1,1,1,6,2,401.5,385.75,12633.183,12750,
,1235,418.2,1,0,5,2,401.6,385.65,12629.944,12750,
,1236,494.5,        .   ,        .   ,        .   ,        .   ,476.3,310.95,10210.942,10250,
,1237,468,        .   ,        .   ,        .   ,        .   ,451.2,336.05,11023.752,11250,
,1238,420.5,1,1,5,2,403.9,383.35,12555.464,12750,
,1239,468,        .   ,        .   ,        .   ,        .   ,451.2,336.05,11023.752,11250,
,1240,420.3,1.8,1,5,2,403.7,383.55,12561.94,12750,
,1241,429.3,1,1,5,2,412.7,374.55,12270.494,12500,
,1242,490.4,2.2,        .   ,        .   ,        .   ,472.9,314.35,10321.043,10500,
,1243,420.1,1,1,        .   ,        .   ,403.5,383.75,12568.417,12750,
,1244,419.6,1,1,5,2,403,384.25,12584.608,12750,
,1245,419.6,1.4,2,5,2,403,384.25,12584.608,12750,
,1246,420.8,0,1,6,3,404.2,383.05,12545.749,12750,
,1247,420.8,1,1,5,3,404.2,383.05,12545.749,12750,
,1248,420.8,2.2,1,5,2,404.2,383.05,12545.749,12750,
,1249,420.9,1,1,5,3,404.3,382.95,12542.511,12750,
,1250,420.9,3,        .   ,        .   ,        .   ,404.3,382.95,12542.511,12750,
,1251,419,1,0,5,2,402.4,384.85,12604.038,12750,
,1252,419,1.6,1,6,3,402.4,384.85,12604.038,12750,
,1253,497.5,1,        .   ,        .   ,        .   ,479.3,307.95,10113.793,10250,
,1254,468.1,1,        .   ,        .   ,        .   ,451.3,335.95,11020.514,11250,
,1255,467.5,        .   ,1,5,3,450.7,336.55,11039.944,11250,
,1256,420.6,1,1,5,2,404,383.25,12552.225,12750,
,1257,420.6,1,1,5,2,404,383.25,12552.225,12750,2
,1258,420.4,        .   ,        .   ,        .   ,        .   ,403.8,383.45,12558.702,12750,
,1259,499.5,        .   ,1,5,2,481.3,305.95,10049.027,10250,
,1260,420.9,2.2,1,5,2,404.3,382.95,12542.511,12750,
,1261,498.3,3,1,5,2,480.1,307.15,10087.887,10250,
,1262,421.7,1,2,5,2,405.1,382.15,12516.604,12750,
,1263,499,3,        .   ,        .   ,        .   ,480.8,306.45,10065.219,10250,
,1264,421.9,1,1,5,2,405.3,381.95,12510.128,12750,
,1265,422,1,2,5,3,405.4,381.85,12506.889,12750,
,1266,419.3,2,1,        .   ,        .   ,402.7,384.55,12594.323,12750,
,1267,419.3,1.4,        .   ,        .   ,        .   ,402.7,384.55,12594.323,12750,
,1268,419.5,1.8,2,6,3,402.9,384.35,12587.847,12750,
,1269,471.3,2.4,1,6,3,453.95,333.3,10934.699,11000,4
,1270,471.6,        .   ,        .   ,        .   ,        .   ,454.25,333,10924.985,11000,
,1271,471.6,2.2,1,5,2,454.25,333,10924.985,11000,
,1272,471.6,3,2,5,3,454.25,333,10924.985,11000,
,1273,498.5,2.8,1,5,3,480.3,306.95,10081.41,10250,
,1274,421.7,1,1,5,2,405.1,382.15,12516.604,12750,
,1275,421.2,1.2,1,5,2,404.6,382.65,12532.796,12750,
,1276,474.2,2,        .   ,5,2,456.85,330.4,10840.789,11000,
,1277,473.9,3,        .   ,        .   ,        .   ,456.55,330.7,10850.504,11000,
,1278,421.2,1,1,6,3,404.6,382.65,12532.796,12750,
,1279,419.6,3,2,6,3,403,384.25,12584.608,12750,
,1280,470.9,        .   ,        .   ,        .   ,        .   ,453.55,333.7,10947.653,11000,2
,1281,496.1,3,2,5,3,477.9,309.35,10159.129,10250,
,1282,420.6,1.2,        .   ,        .   ,        .   ,404,383.25,12552.225,12750,
,1283,470.8,3,2,5,2,453.45,333.8,10950.891,11000,3
,1284.1,472.6,        .   ,        .   ,        .   ,        .   ,455.25,332,10892.602,11000,
,1284.2,472.7,        .   ,        .   ,        .   ,        .   ,455.35,331.9,10889.363,11000,
,1285,422,1,1,5,2,405.4,381.85,12506.889,12750,
,1286,472.7,1,1,6,2,455.35,331.9,10889.363,11000,
,1287,721.1,1,1,5,2,692.25,95,3217.854,3250,
,1288,421.9,1,1,        .   ,        .   ,405.3,381.95,12510.128,12750,2
,1289,420.8,3,3,6,4,404.2,383.05,12545.749,12750,
,1290,421.3,1,1,        .   ,        .   ,404.7,382.55,12529.557,12750,
,1291,500.1,3,1,5,3,481.9,305.35,10029.597,10250,
,1292,474,3,0,5,2,456.65,330.6,10847.266,11000,
,1293,473.2,3,        .   ,        .   ,        .   ,455.85,331.4,10873.172,11000,
,1294.1,504.5,2.2,2,6,5,486.3,300.95,9887.113,10000,
,1294.2,504.5,2.2,1,5,3,486.3,300.95,9887.113,10000,
,1294.3,504.5,1,1,5,3,486.3,300.95,9887.113,10000,
,1295,471.2,        .   ,0,5,2,453.85,333.4,10937.938,11000,
,1296,472.8,3,0,5,2,455.45,331.8,10886.125,11000,
,1297,423.3,1,1,5,3,406.7,380.55,12464.792,12500,4
,1298,421,1,1,5,2,404.4,382.85,12539.272,12750,
,1299,422,        .   ,        .   ,        .   ,        .   ,405.4,381.85,12506.889,12750,
,1300,422.3,0,2,5,2,405.7,381.55,12497.175,12500,
,1301,423.1,1,        .   ,        .   ,        .   ,406.5,380.75,12471.268,12500,
,1302,421.5,3,1,        .   ,        .   ,404.9,382.35,12523.081,12750,2
,1303,422,1,1,5,2,405.4,381.85,12506.889,12750,
,1304,506.5,2.2,1,5,2,483.7,303.55,9971.308,10000,2
,1305,472.6,3,1,6,3,455.25,332,10892.602,11000,
,1306,474.1,3,1,        .   ,        .   ,456.75,330.5,10844.027,11000,
,1307,422.3,1,2,5,3,405.7,381.55,12497.175,12500,
,1308,472.5,3,        .   ,        .   ,        .   ,455.15,332.1,10895.84,11000,
,1309,424.1,1,1,5,2,407.5,379.75,12438.885,12500,
,1310,472.7,3,1,        .   ,        .   ,455.35,331.9,10889.363,11000,2
,1311,423.8,1,0,5,2,407.2,380.05,12448.6,12500,3
,1312,503,3,1,6,4,484.8,302.45,9935.687,10000,
,1313,504.5,3,2,        .   ,        .   ,486.3,300.95,9887.113,10000,2
,1314,473.1,2.2,2,5,3,455.75,331.5,10876.41,11000,2
,1315,473.5,3,2,6,4,456.15,331.1,10863.457,11000,2
,1316,423.8,1,2,        .   ,        .   ,407.2,380.05,12448.6,12500,
,1317,503.3,3,1,5,2,485.1,302.15,9925.972,10000,
,1318,422.7,1,        .   ,        .   ,        .   ,406.1,381.15,12484.221,12500,
,1319,421.9,1,1,5,2,405.3,381.95,12510.128,12750,
,1320,504,1,2,        .   ,        .   ,485.8,301.45,9903.304,10000,
,1321,605,3,1,6,3,578.6,208.65,6898.171,7000,
,1322,504,2.4,1,5,3,485.8,301.45,9903.304,10000,
,1323,604.1,3,3,6,3,578.3,208.95,6907.886,7000,
,1324,423.5,1,1,5,2,406.9,380.35,12458.315,12500,
,1325,605.7,3,        .   ,        .   ,        .   ,579.3,207.95,6875.503,7000,
,1326,422.1,1,        .   ,        .   ,        .   ,405.5,381.75,12503.651,12750,
,1327,422,1,        .   ,        .   ,        .   ,405.4,381.85,12506.889,12750,3
,1328,423.2,1,2,6,3,406.6,380.65,12468.03,12500,
,1329,606,3,1,        .   ,        .   ,579.6,207.65,6865.788,7000,
,1330,501.4,2.2,1,5,3,483.2,304.05,9987.5,10000,2
,1331,500.8,        .   ,1,5,2,482.6,304.65,10006.929,10250,
,1332,605.3,3,3,5,2,578.9,208.35,6888.456,7000,
,1333.1,425.2,2,1,5,2,408.6,378.65,12403.264,12500,1
,1333.2,425.2,2,1,5,2,408.6,378.65,12403.264,12500,
,1334,425.1,1,1,5,2,408.5,378.75,12406.502,12500,
,1335,425.1,2.2,2,7,3,408.5,378.75,12406.502,12500,
,1336,504.8,3,1,5,2,486.6,300.65,9877.398,10000,
,1337,595.6,3,2,5,3,569.8,217.45,7183.14,7250,
,1338,425.5,1,1,5,2,408.9,378.35,12393.549,12500,
,1339,595.4,3,3,5,3,569.6,217.65,7189.617,7250,
,1340,596.3,3,1,5,3,570.5,216.75,7160.472,7250,
,1341,504.8,3,1,5,2,486.6,300.65,9877.398,10000,2
,1342,504.8,1,1,6,2,486.6,300.65,9877.398,10000,
,1343,596.5,3,1,5,2,570.7,216.55,7153.996,7250,
,1344,424.7,1,1,5,2,408.1,379.15,12419.456,12500,
,1345,596,3,2,5,2,570.2,217.05,7170.187,7250,
,1346,424.7,1,2,5,2,408.1,379.15,12419.456,12500,
,1347,476.2,3,        .   ,        .   ,        .   ,458.85,328.4,10776.023,11000,
,1348,424.7,1,2,5,3,408.1,379.15,12419.456,12500,
,1349,595.6,3,        .   ,        .   ,        .   ,569.8,217.45,7183.14,7250,
,1350,504.8,3,1,6,2,486.6,300.65,9877.398,10000,
,1351,596.3,        .   ,        .   ,        .   ,        .   ,570.5,216.75,7160.472,7250,
,1352,424.5,1,2,5,3,407.9,379.35,12425.932,12500,
,1353,475,3,        .   ,5,2,457.65,329.6,10814.883,11000,
,1354,476.2,2.2,0,5,3,458.85,328.4,10776.023,11000,
,1355,476.8,        .   ,        .   ,        .   ,        .   ,459.45,327.8,10756.594,11000,
,1356,424.3,        .   ,        .   ,        .   ,        .   ,407.7,379.55,12432.409,12500,
,1357,424.4,1,        .   ,        .   ,        .   ,407.8,379.45,12429.17,12500,
,1358,424.7,1,1,6,2,408.1,379.15,12419.456,12500,
,1359,424.1,        .   ,        .   ,        .   ,        .   ,407.5,379.75,12438.885,12500,
,1360.1,504.8,3,2,5,3,486.6,300.65,9877.398,10000,
,1360.2,504.8,3,2,5,3,486.6,300.65,9877.398,10000,
,1360.3,504.8,3,1,5,3,486.6,300.65,9877.398,10000,
,1360.4,504.8,3,1,5,3,486.6,300.65,9877.398,10000,
,1360.5,504.8,1,1,4,2,486.6,300.65,9877.398,10000,
,1360.6,504.8,1,0,5,3,486.6,300.65,9877.398,10000,
,1360.7,504.8,3,        .   ,        .   ,        .   ,486.6,300.65,9877.398,10000,
,1360.8,504.8,2.2,2,5,3,486.6,300.65,9877.398,10000,
,1360.9,504.8,2.4,2,5,3,486.6,300.65,9877.398,10000,
,1361,425.4,1,        .   ,        .   ,        .   ,408.8,378.45,12396.788,12500,
,1362,474.7,1,1,5,2,457.35,329.9,10824.598,11000,
,1363,475.4,1,        .   ,        .   ,        .   ,458.05,329.2,10801.93,11000,
,1364,471.3,3,1,6,4,453.95,333.3,10934.699,11000,
,1365,425,1.6,2,5,3,408.4,378.85,12409.741,12500,
,1366,424.7,1,1,5,2,408.1,379.15,12419.456,12500,
,1367,425.3,1.6,3,6,3,408.7,378.55,12400.026,12500,
,1368,425.2,1,2,5,3,408.6,378.65,12403.264,12500,
,1369,425.3,1,1,5,2,408.7,378.55,12400.026,12500,
,1370,503.1,        .   ,        .   ,        .   ,        .   ,484.9,302.35,9932.449,10000,
,1371,424.7,1,        .   ,        .   ,        .   ,408.1,379.15,12419.456,12500,
,1372,424.7,1,        .   ,        .   ,        .   ,408.1,379.15,12419.456,12500,
,1373,424.5,1,3,6,4,407.9,379.35,12425.932,12500,
,1374.1,504.8,3,1,6,3,486.6,300.65,9877.398,10000,
,1374.2,504.8,3,1,6,2,486.6,300.65,9877.398,10000,
,1375,504.9,1,1,5,3,486.7,300.55,9874.159,10000,
,1376,425.5,1,1,5,2,408.9,378.35,12393.549,12500,
,1377,425.6,2.2,1,5,2,409,378.25,12390.311,12500,
,1378,504.8,        .   ,2,6,2,486.6,300.65,9877.398,10000,
,1379.1,504.8,3,1,5,3,486.6,300.65,9877.398,10000,
,1379.2,504.8,1.6,2,5,3,486.6,300.65,9877.398,10000,
,1379.3,504.8,1,1,5,3,486.6,300.65,9877.398,10000,
,1379.4,504.8,1.4,2,5,3,486.6,300.65,9877.398,10000,
,1379.5,504.8,2.2,1,5,2,486.6,300.65,9877.398,10000,
,1380,425.6,1,2,        .   ,        .   ,409,378.25,12390.311,12500,
,1381,425.5,1,1,5,3,408.9,378.35,12393.549,12500,
,1382,603,3,2,5,3,577.2,210.05,6943.507,7000,
,1383,604.6,3,        .   ,        .   ,        .   ,578.2,209.05,6911.124,7000,
,1384,596.5,        .   ,        .   ,        .   ,        .   ,570.7,216.55,7153.996,7250,4
,1385,599.1,3,2,5,2,573.3,213.95,7069.8,7250,
,1386,603,3,2,        .   ,        .   ,577.2,210.05,6943.507,7000,
,1387,598.1,3,2,5,3,572.3,214.95,7102.183,7250,
,1388.1,504.8,        .   ,2,6,4,486.6,300.65,9877.398,10000,
,1388.2,504.8,1,1,5,2,486.6,300.65,9877.398,10000,
,1388.3,504.8,2.4,1,6,3,486.6,300.65,9877.398,10000,
,1388.4,504.8,2.4,1,5,3,486.6,300.65,9877.398,10000,
,1388.5,504.8,        .   ,        .   ,        .   ,        .   ,486.6,300.65,9877.398,10000,
,1388.6,504.8,2,1,5,3,486.6,300.65,9877.398,10000,
,1388.7,504.8,1,1,5,2,486.6,300.65,9877.398,10000,
,1388.8,504.8,1,1,5,2,486.6,300.65,9877.398,10000,
,1389,504.9,        .   ,2,6,5,486.7,300.55,9874.159,10000,
,1390.1,475.8,2.8,2,6,4,458.45,328.8,10788.976,11000,2
,1390.2,476.6,        .   ,1,5,2,459.25,328,10763.07,11000,
,1391,468.3,3,1,5,3,451.5,335.75,11014.038,11250,
,1392.1,504.8,1,1,6,2,486.6,300.65,9877.398,10000,
,1392.2,504.8,3,1,6,3,486.6,300.65,9877.398,10000,
,1392.3,504.8,1,1,        .   ,        .   ,486.6,300.65,9877.398,10000,
,1392.4,504.8,1,1,5,3,486.6,300.65,9877.398,10000,
,1392.5,504.8,3,2,5,2,486.6,300.65,9877.398,10000,
,1392.6,504.8,1,1,6,3,486.6,300.65,9877.398,10000,
,1392.7,504.8,1.6,1,6,3,486.6,300.65,9877.398,10000,
,1392.8,504.8,3,1,5,3,486.6,300.65,9877.398,10000,
,1392.9,504.8,1,1,5,3,486.6,300.65,9877.398,10000,
,1393,495,        .   ,        .   ,        .   ,        .   ,476.8,310.45,10194.75,10250,
,1394,427.6,        .   ,        .   ,        .   ,        .   ,411,376.25,12325.545,12500,
,1395,426.9,1,0,        .   ,        .   ,410.3,376.95,12348.213,12500,
,1396,602.9,3,3,6,4,577.1,210.15,6946.745,7000,
,1397.1,501.9,2.4,1,6,3,483.7,303.55,9971.308,10000,
,1397.2,501.9,2.6,2,6,4,483.7,303.55,9971.308,10000,
,1398.1,427.5,2.2,0,6,2,410.9,376.35,12328.783,12500,
,1398.2,427.5,3,2,5,3,410.9,376.35,12328.783,12500,
,1399,427.8,1.2,2,6,4,411.2,376.05,12319.069,12500,
,1400,427.5,        .   ,1,5,2,410.9,376.35,12328.783,12500,
,1401,427.6,1,1,5,2,411,376.25,12325.545,12500,
,1402,427.4,1,1,5,2,410.8,376.45,12332.022,12500,
,1403,425.8,1,        .   ,        .   ,        .   ,409.2,378.05,12383.834,12500,
,1404,604,3,2,5,2,578.2,209.05,6911.124,7000,
,1405.1,603.7,3,2,5,3,577.9,209.35,6920.839,7000,
,1405.2,603.7,3,3,5,3,577.9,209.35,6920.839,7000,
,1406,603,3,        .   ,        .   ,        .   ,577.2,210.05,6943.507,7000,
,1407,603.7,3,3,5,2,577.9,209.35,6920.839,7000,
,1408,604.1,3,3,5,3,578.3,208.95,6907.886,7000,
,1409,603.8,3,1,5,3,578,209.25,6917.601,7000,
,1410,476.4,3,1,5,3,459.05,328.2,10769.547,11000,
,1411.05,504.8,3,1,6,2,486.6,300.65,9877.398,10000,
,1411.1,504.8,2.2,1,5,3,486.6,300.65,9877.398,10000,
,1411.15,504.8,3,2,6,2,486.6,300.65,9877.398,10000,
,1411.2,504.8,2.2,0,5,3,486.6,300.65,9877.398,10000,
,1411.25,504.8,1,1,6,4,486.6,300.65,9877.398,10000,
