UCMP #,L -SPEC,STRAT (cm),PS,DSP,PT,CT,CSTRAT,ISTRAT,YEAR,INT,REGURG
,2849,200.5,2.2,        .   ,        .   ,        .   ,191.75,595.5,19425.496,19500,
,2850,664.1,3,        .   ,        .   ,        .   ,635.9,151.35,5042.63,5250,
,2851,242.8,0,1,5,2,233.85,553.4,18062.176,18250,
,2852,152.5,1,1,        .   ,        .   ,151.05,636.2,20743.48,20750,
,2853,153.1,2,1,5,3,151.65,635.6,20724.051,20750,
,2854,664.3,3,        .   ,        .   ,        .   ,636.1,151.15,5036.154,5250,
,2855,242.1,1,        .   ,        .   ,        .   ,233.15,554.1,18084.844,18250,3
,2856,667.9,3,3,6,5,639.35,147.9,4930.909,5000,
,2857,154.9,1,1,5,1,153.45,633.8,20665.762,20750,
,2858,154.9,        .   ,1,5,3,153.45,633.8,20665.762,20750,
,2859,154.4,1,        .   ,        .   ,        .   ,152.95,634.3,20681.953,20750,
,2860,664.7,3,3,5,4,636.5,150.75,5023.201,5250,
,2861,742.5,1,1,4,1,712.3,74.95,2568.577,2750,
,2862,146.6,1,1,5,2,145.15,642.1,20934.54,21000,
,2863,706.8,2.4,3,6,3,678.85,108.4,3651.785,3750,
,2864,243.2,1,1,5,2,234.25,553,18049.223,18250,
,2865,706.8,        .   ,        .   ,        .   ,        .   ,678.85,108.4,3651.785,3750,
,2866.1,148.3,        .   ,        .   ,        .   ,        .   ,146.85,640.4,20879.489,21000,
,2866.2,148.3,1,2,6,5,146.85,640.4,20879.489,21000,
,2867,148.3,        .   ,        .   ,        .   ,        .   ,146.85,640.4,20879.489,21000,
,2868,742,1,1,5,2,711.8,75.45,2584.768,2750,
,2869,201.3,        .   ,        .   ,        .   ,        .   ,192.55,594.7,19399.59,19500,
,2870,144.7,        .   ,        .   ,        .   ,        .   ,143.75,643.5,20979.876,21000,
,2871,664.2,3,3,        .   ,        .   ,636,151.25,5039.392,5250,
,2872,143.3,1,1,6,3,142.75,644.5,21012.259,21250,
,2873,665.4,3,3,6,5,637.2,150.05,5000.533,5250,
,2874,145.6,1,1,5,2,144.65,642.6,20950.731,21000,
,2875,707.3,        .   ,        .   ,        .   ,        .   ,679.35,107.9,3635.593,3750,
,2876,146.6,1,        .   ,        .   ,        .   ,145.15,642.1,20934.54,21000,
,2877,146.9,        .   ,1,        .   ,        .   ,145.45,641.8,20924.825,21000,
,2878,197.9,1,1,5,2,189.15,598.1,19509.692,19750,
,2879,144.6,1,1,5,2,143.55,643.7,20986.352,21000,
,2880,148.4,1,        .   ,        .   ,        .   ,146.95,640.3,20876.25,21000,
,2881,226.8,1,        .   ,        .   ,        .   ,217.85,569.4,18580.303,18750,
,2882,707.4,        .   ,        .   ,        .   ,        .   ,679.45,107.8,3632.355,3750,
,2883,666.7,3,3,        .   ,        .   ,638.5,148.75,4958.435,5000,
,2884,744.8,        .   ,1,4,1,714.6,72.65,2494.096,2500,
,2885,198.2,1,        .   ,        .   ,        .   ,189.45,597.8,19499.977,19500,
,2886,745.2,1,1,5,3,715,72.25,2481.143,2500,3
,2887,148.4,1,2,6,3,146.95,640.3,20876.25,21000,
,2888,744.8,1,1,5,3,714.6,72.65,2494.096,2500,
,2889,146,        .   ,1,6,5,145.05,642.2,20937.778,21000,3
,2890,228,1,1,5,2,219.05,568.2,18541.443,18750,
,2892,201.4,        .   ,        .   ,        .   ,        .   ,192.65,594.6,19396.352,19500,
,2893,143.9,0,1,5,2,143.35,643.9,20992.829,21000,
,2894,746.6,        .   ,2,        .   ,        .   ,716.4,70.85,2435.807,2500,
,2895.1,744.8,        .   ,        .   ,        .   ,        .   ,714.6,72.65,2494.096,2500,
,2895.2,744.8,1,1,4,1,714.6,72.65,2494.096,2500,
,2896,665.8,3,3,        .   ,        .   ,637.6,149.65,4987.58,5000,
,2897,201,1,0,5,3,192.25,595,19409.305,19500,
,2898,660,3,3,6,4,631.9,155.35,5172.162,5250,
,2899,150.4,        .   ,        .   ,        .   ,        .   ,148.95,638.3,20811.485,21000,
,2900.1,655.5,3,        .   ,        .   ,        .   ,627.4,159.85,5317.885,5500,
,2900.2,655.5,        .   ,3,        .   ,        .   ,627.4,159.85,5317.885,5500,
,2900.3,655.5,3,3,6,4,627.4,159.85,5317.885,5500,
,2900.4,655.5,        .   ,3,6,4,627.4,159.85,5317.885,5500,
,2901,150.2,1,1,4,1,148.75,638.5,20817.961,21000,
,2902,149.4,1,1,5,3,147.95,639.3,20843.867,21000,
,2903,747.7,        .   ,        .   ,        .   ,        .   ,717.5,69.75,2400.186,2500,
,2904,655.7,3,3,6,5,627.6,159.65,5311.409,5500,
,2905,707.9,1,1,6,4,679.95,107.3,3616.164,3750,
,2906,666.2,3,3,        .   ,        .   ,638,149.25,4974.626,5000,
,2907,229.6,1,1,5,3,220.65,566.6,18489.63,18500,
,2908,148.1,1,1,        .   ,        .   ,146.65,640.6,20885.965,21000,
,2909,148.1,1,1,        .   ,        .   ,146.65,640.6,20885.965,21000,
,2910,148.2,1,        .   ,        .   ,        .   ,146.75,640.5,20882.727,21000,
,2911,665.4,3,3,5,4,637.2,150.05,5000.533,5250,
,2912,744.5,        .   ,1,4,1,714.3,72.95,2503.811,2750,
,2913,147.4,1,        .   ,        .   ,        .   ,145.95,641.3,20908.633,21000,
,2914,666,3,        .   ,        .   ,        .   ,637.8,149.45,4981.103,5000,
,2915,665.9,3,3,        .   ,        .   ,637.7,149.55,4984.341,5000,
,2916,231.7,1,1,6,4,222.75,564.5,18421.626,18500,
,2917,708.8,        .   ,        .   ,        .   ,        .   ,679.85,107.4,3619.402,3750,
,2918,656.7,3,1,5,4,628.6,158.65,5279.026,5500,
,2919,148.2,1,1,6,2,146.75,640.5,20882.727,21000,
,2920,150.7,0,        .   ,        .   ,        .   ,149.25,638,20801.77,21000,
,2921,151.3,1,        .   ,        .   ,        .   ,149.85,637.4,20782.34,21000,
,2922,152,        .   ,        .   ,        .   ,        .   ,150.55,636.7,20759.672,21000,
,2923,667.8,1,1,5,2,639.25,148,4934.148,5000,
,2924,203.7,3,        .   ,        .   ,        .   ,194.95,592.3,19321.871,19500,
,2925,150,1,1,5,3,148.55,638.7,20824.438,21000,
,2926,154.5,        .   ,2,5,3,153.05,634.2,20678.715,20750,
,2927,151.5,1,2,5,3,150.05,637.2,20775.863,21000,
,2928,668.6,1,        .   ,        .   ,        .   ,640.05,147.2,4908.241,5000,
,2929,151.1,1,1,5,2,149.65,637.6,20788.817,21000,
,2930,657.9,3,3,        .   ,        .   ,629.8,157.45,5240.166,5250,2
,2931,153.6,        .   ,1,6,2,152.15,635.1,20707.859,20750,3
,2932,658.1,3,3,6,4,630,157.25,5233.69,5250,
,2933,237.2,1,1,5,2,228.25,559,18243.52,18250,
,2934,151.7,        .   ,        .   ,        .   ,        .   ,150.25,637,20769.387,21000,
,2935,151.5,1,1,5,2,150.05,637.2,20775.863,21000,
,2936.1,658.2,3,3,6,4,630.1,157.15,5230.451,5250,1
,2936.2,658.2,3,3,6,5,630.1,157.15,5230.451,5250,
,2937,152.2,2.2,1,5,2,150.75,636.5,20753.195,21000,
,2938,151.2,1,1,6,4,149.75,637.5,20785.578,21000,
,2939,240.4,0,1,6,4,231.45,555.8,18139.895,18250,
,2940,668.4,1,1,5,2,639.85,147.4,4914.718,5000,
,2942,754.1,0,1,6,3,723.9,63.35,2192.935,2250,
,2943,709.3,1,1,5,1,680.35,106.9,3603.211,3750,
,2944,709.8,1,        .   ,        .   ,        .   ,680.85,106.4,3587.019,3750,
,2945,149.6,        .   ,        .   ,        .   ,        .   ,148.15,639.1,20837.391,21000,
,2946,151.2,1,1,5,2,149.75,637.5,20785.578,21000,
,2947,668.4,1,1,5,2,639.85,147.4,4914.718,5000,
,2948,659.8,3,3,        .   ,        .   ,631.7,155.55,5178.639,5250,
,2949,752.9,1,1,5,2,722.7,64.55,2231.795,2250,
,2950,710.4,1.2,1,5,2,681.45,105.8,3567.589,3750,
,2951,668,        .   ,        .   ,        .   ,        .   ,639.45,147.8,4927.671,5000,
,2952,241.9,1,1,5,2,232.95,554.3,18091.321,18250,1
,2953.1,208.1,1,        .   ,        .   ,        .   ,199.35,587.9,19179.386,19250,
,2953.2,208.1,1,        .   ,        .   ,        .   ,199.35,587.9,19179.386,19250,
,2954,750.3,        .   ,        .   ,        .   ,        .   ,720.1,67.15,2315.99,2500,
,2955,149.5,1,1,        .   ,        .   ,148.05,639.2,20840.629,21000,
,2956,150.1,1,2,6,4,148.65,638.6,20821.199,21000,
,2957,155,1,0,4,1,153.55,633.7,20662.523,20750,
,2958,710.3,1,        .   ,        .   ,        .   ,681.35,105.9,3570.828,3750,
,2959,754.9,        .   ,        .   ,        .   ,        .   ,724.7,62.55,2167.029,2250,3
,2960,710.3,        .   ,        .   ,        .   ,        .   ,681.35,105.9,3570.828,3750,
,2961,754.2,1,1,        .   ,        .   ,724,63.25,2189.697,2250,
,2962,240.8,1,        .   ,        .   ,        .   ,231.85,555.4,18126.942,18250,
,2963,153.2,2.2,        .   ,        .   ,        .   ,151.75,635.5,20720.812,20750,
,2964,151.3,1,1,6,2,149.85,637.4,20782.34,21000,
,2965,195.7,1,1,5,2,186.95,600.3,19580.934,19750,
,2966,151.3,1,2,        .   ,        .   ,149.85,637.4,20782.34,21000,
,2967,151.3,3,2,6,4,149.85,637.4,20782.34,21000,
,2968,669.8,2.2,1,7,3,641.25,146,4869.382,5000,
,2969,669.5,1,1,5,2,640.95,146.3,4879.097,5000,
,2970,709.5,        .   ,        .   ,        .   ,        .   ,680.55,106.7,3596.734,3750,
,2971,661.4,3,3,6,5,633.3,153.95,5126.826,5250,
,2972,670,1,0,4,1,641.45,145.8,4862.905,5000,
,2973,203.3,1,        .   ,        .   ,        .   ,194.55,592.7,19334.824,19500,
,2974,661.7,3,        .   ,        .   ,        .   ,633.6,153.65,5117.111,5250,
,2975,150.8,        .   ,1,6,4,149.35,637.9,20798.531,21000,
,2976,152.4,        .   ,2,6,4,150.95,636.3,20746.719,20750,
,2977,241.9,1.4,1,5,3,232.95,554.3,18091.321,18250,
,2978,153.5,1,        .   ,        .   ,        .   ,152.05,635.2,20711.098,20750,
,2979,153.8,2.2,1,5,2,152.35,634.9,20701.383,20750,
,2980,154.4,        .   ,        .   ,        .   ,        .   ,152.95,634.3,20681.953,20750,
,2981,751,        .   ,        .   ,        .   ,        .   ,720.8,66.45,2293.322,2500,
,2982,669.8,1,1,6,2,641.25,146,4869.382,5000,
,2983,751.1,        .   ,        .   ,        .   ,        .   ,720.9,66.35,2290.084,2500,
,2984,710.3,0,1,5,2,681.35,105.9,3570.828,3750,3
,2985,710.5,1,1,5,2,681.55,105.7,3564.351,3750,
,2986,751.3,1,2,5,2,721.1,66.15,2283.607,2500,
,2987,670.4,0,1,6,2,641.85,145.4,4849.952,5000,
,2988,158.2,1,1,5,2,156.75,630.5,20558.898,20750,
,2989,670,0,1,4,1,641.45,145.8,4862.905,5000,
,2990,753.5,1,1,5,1,723.3,63.95,2212.365,2250,
,2991,710.2,1,1,5,2,681.25,106,3574.066,3750,
,2992,661.1,3,3,5,3,633,154.25,5136.541,5250,
,2993,660.9,3,3,6,5,632.8,154.45,5143.017,5250,
,2994,156.2,1,1,5,3,154.75,632.5,20623.664,20750,
,2996,689.7,1,1,5,2,661.2,126.05,4223.343,4250,
,2997,240.5,        .   ,        .   ,5,2,231.55,555.7,18136.657,18250,
,2998,752.6,        .   ,        .   ,        .   ,        .   ,722.4,64.85,2241.509,2250,
