"fish_id","n","ID","part_type","bin","merged","X","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","CSTRAT","ISTRAT","YEAR","INT"
"V333549",3147,"V333549_L3391_1_P.jpg","merged","L3391",TRUE,3147,NA,380.3326,0,0,0,0,0,0,1,91.4385,0,9,8,0,11,4,127.1377,0,NA,NA,0,183,506.6093,364.1881,192.2108,652.5534,NA,133.85,653.4,21300.466,21500
"V333550",3148,"V333550_L3392_1_P.jpg","merged","L3392",TRUE,3148,NA,NA,0,0,0,0,0,0,1,101.9215,0,0,0,0,0,5,56.1427,0,NA,NA,0,156.7801,NA,449.0212,222,662.607,NA,248.25,539,17595.862,17750
"V333552",3149,"V333552_L3394_1_P.jpg","merged","L3394",TRUE,3149,2497.5086,NA,0,0,0,0,0,0,1,88.6397,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,79.4292,657.0274,0,652.45,134.8,4506.693,4750
"V333555",3150,"V333555_L3397_1_P.jpg","merged","L3397",TRUE,3150,3585.0113,418.4574,0,0,0,0,0,0,1,115.4513,0,11,8,17,14,5,129.5222,0,NA,NA,0,NA,558.129,480.0937,124.7798,675.24,0,245.9,541.35,17671.962,17750
"V333559",3151,"V333559_L3401_1_P.jpg","merged","L3401",TRUE,3151,NA,495.595,0,0,0,0,0,0,1,114.826,0,10,8,16,0,NA,104.7855,0,NA,NA,0,NA,NA,NA,NA,696.5235,0,245.2,542.05,17694.63,17750
"V333564",3152,"V333564_L3407_1_P.jpg","merged","L3407",TRUE,3152,3913.3847,440.3757,0,0,0,0,0,0,1,90.4489,0,7,6,18,0,5,85.9069,0,NA,NA,0,NA,333.2567,349.4968,156.5184,688.2826,0,771.4,15.85,654.747,750
"V333566",3153,"V333566_L3409_1_P.jpg","merged","L3409",TRUE,3153,3993.2142,478.3852,0,0,0,0,0,0,0,0,0,0,0,17,0,4,126.6491,0,NA,NA,0,NA,NA,NA,NA,696.1034,0,682.35,104.9,3538.445,3750
"V333569",3154,"V333569_L3412_1_P.jpg","merged","L3412",TRUE,3154,NA,NA,0,0,0,0,0,0,0,0,0,8,7,17,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,612.0058,0,217.65,569.6,18586.779,18750
"V333570",3155,"V333570_L3414_1_P.jpg","merged","L3414",TRUE,3155,2374.4852,286.1663,0,0,0,0,0,0,1,53.6656,0,7,5,17,13,4,51.923,0,NA,NA,0,106.0189,348.2643,344.6157,82.3893,608.0132,NA,703.55,83.7,2851.927,3000
"V333571",3156,"V333571_L3415_1_P.jpg","merged","L3415",TRUE,3156,NA,309.8392,0,0,0,0,0,0,1,74.6726,0,0,0,17,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,612.5651,0,652.55,134.7,4503.455,4750
"V333579",3157,"V333579_L3423_1_P.jpg","merged","L3423",TRUE,3157,4623.1556,568.0435,0,0,0,0,0,0,1,86.5332,0,0,0,17,0,5,48.6621,0,NA,NA,0,NA,NA,NA,105.2236,740,0,646.65,140.6,4694.514,4750
