"Sample_ID","strat_level","sample_type","sample_label","V_number","LSPEC","CSTRAT","YEAR","has_age_data","age_quality","notes"
"V332540_L2284",2284,"Stickleback","L2284","V332540","L2284",NA,NA,FALSE,"No age data","Missing age/depth data"
"V332603_L2451",627.9,"Stickleback","L2451","V332603","L2451",627.9,5301.694,TRUE,"Both depth and age",""
"V332671_L2523",630.9,"Stickleback","L2523","V332671","L2523",630.9,5204.545,TRUE,"Both depth and age",""
"V332690_L2543",636.6,"Stickleback","L2543","V332690","L2543",636.6,5019.962,TRUE,"Both depth and age",""
"V332856_L2711",639.45,"Stickleback","L2711","V332856","L2711",639.45,4927.671,TRUE,"Both depth and age",""
"V332949_L2804",633.7,"Stickleback","L2804","V332949","L2804",633.7,5113.873,TRUE,"Both depth and age",""
"V333195_L3054",642.45,"Stickleback","L3054","V333195","L3054",642.45,4830.522,TRUE,"Both depth and age",""
"V333237_L3096",3096,"Stickleback","L3096","V333237","L3096",NA,NA,FALSE,"No age data","Missing age/depth data"
"V333449_L3291",3291,"Stickleback","L3291","V333449","L3291",NA,NA,FALSE,"No age data","Missing age/depth data"
"V333509_L3351",651.55,"Stickleback","L3351","V333509","L3351",651.55,4535.838,TRUE,"Both depth and age",""
"V333581_L3425",3425,"Stickleback","L3425","V333581","L3425",NA,NA,FALSE,"No age data","Missing age/depth data"
"V333620_L3464",656.6,"Stickleback","L3464","V333620","L3464",656.6,4372.304,TRUE,"Both depth and age",""
"V333671_L3515",659.7,"Stickleback","L3515","V333671","L3515",659.7,4271.917,TRUE,"Both depth and age",""
"V333800_L3646",3646,"Stickleback","L3646","V333800","L3646",NA,NA,FALSE,"No age data","Missing age/depth data"
"V333906_L3752",3752,"Stickleback","L3752","V333906","L3752",NA,NA,FALSE,"No age data","Missing age/depth data"
"V333994_L3863",3863,"Stickleback","L3863","V333994","L3863",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356032_LXXXX",9999,"Killifish","Killifish_V356032","V356032","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356038_LXXXX",9999,"Killifish","Killifish_V356038","V356038","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356056_LXXXX",9999,"Killifish","Killifish_V356056","V356056","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356062_LXXXX",9999,"Killifish","Killifish_V356062","V356062","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356066_LXXXX",9999,"Killifish","Killifish_V356066","V356066","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356080_LXXXX",9999,"Killifish","Killifish_V356080","V356080","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356093_LXXXX",9999,"Killifish","Killifish_V356093","V356093","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356105_LXXXX",9999,"Killifish","Killifish_V356105","V356105","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356116_LXXXX",9999,"Killifish","Killifish_V356116","V356116","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356122_LXXXX",9999,"Killifish","Killifish_V356122","V356122","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356164_LXXXX",9999,"Killifish","Killifish_V356164","V356164","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356174_LXXXX",9999,"Killifish","Killifish_V356174","V356174","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356200_LXXXX",9999,"Killifish","Killifish_V356200","V356200","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356208_LXXXX",9999,"Killifish","Killifish_V356208","V356208","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356220_LXXXX",9999,"Killifish","Killifish_V356220","V356220","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356241_LXXXX",9999,"Killifish","Killifish_V356241","V356241","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356296_LXXXX",9999,"Killifish","Killifish_V356296","V356296","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356310_LXXXX",9999,"Killifish","Killifish_V356310","V356310","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
"V356317_LXXXX",9999,"Killifish","Killifish_V356317","V356317","LXXXX",NA,NA,FALSE,"No age data","Missing age/depth data"
