"","fish_id","n","ID","part_type","bin","merged","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm"
"1386","V332374",2252,"V332374_L2115_1_P.jpg","merged","L2115",TRUE,NA,NA,0,NA,1,0,NA,1,1,136.8211,0,9,8,0,0,NA,NA,2,396.5564,NA,0,728.9753,661.7432,621.7025,NA,648.6941
"1387","V332375",2253,"V332375_L2116_1_P.jpg","merged","L2116",TRUE,2962.5254,407.6923,0,0,0,0,0,0,1,59.0931,0,0,0,16,10,4,127.738,0,NA,NA,0,137.0839,437.3523,394.4515,93.9628,664.2477
"1388","V332376",2254,"V332376_L2117_1_P.jpg","merged","L2117",TRUE,4166.3125,NA,0,0,0,1,222.1711,0,1,150.9437,0,0,7,15,0,4,157.1751,0,NA,NA,0,229.1201,668.766,NA,141.4214,662.1178
"1389","V332378",2255,"V332378_L2120_1_P.jpg","merged","L2120",TRUE,NA,356.0977,0,0,0,0,0,0,1,100.8464,0,9,0,14,12,5,97.719,2,198.8165,NA,0,414.2717,NA,NA,NA,659.2154
"1390","V332380",2257,"V332380_L2122_1_P.jpg","merged","L2122",TRUE,NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,176.1846,291.4944,0,541.1987,530.3555,666.5201,NA,670.5117
"1391","V332381",2258,"V332381_L2123_1_P.jpg","merged","L2123",TRUE,3093.3375,421.138,0,0,0,0,0,0,1,34.9857,0,0,0,17,12,4,132.1363,2,204.7486,264.017,0,504.58,368.072,382.038,NA,733.6764
"1392","V332382",2260,"V332382_L2124_1_P.jpg","merged","L2124",TRUE,2101.2035,279.1396,0,0,0,0,0,0,1,64.4981,0,7,0,0,12,4,96.6023,0,NA,NA,0,137.9275,299.9333,256.8502,80.05,653.3636
"1393","V332383",2261,"V332383_L2125_1_P.jpg","merged","L2125",TRUE,2306.0312,NA,0,0,0,0,0,0,1,111.1396,0,0,0,0,0,NA,NA,2,245.7723,248.6524,0,418.1196,NA,329.8485,69.9714,659.6059
"1394","V332384",2262,"V332384_L2126_1_P.jpg","merged","L2126",TRUE,NA,391.3417,0,0,0,0,0,0,1,104.9381,0,0,0,0,0,6,144.0555,0,NA,NA,0,NA,NA,NA,NA,744.0672
"1395","V332385",2263,"V332385_L2127_1_P.jpg","merged","L2127",TRUE,NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,707.5486,591.3958,NA,735.2999
"1396","V332386",2264,"V332386_L2128_1_P.jpg","merged","L2128",TRUE,3148.9613,399.8335,1,168.2409,0,1,236.677,0,1,89.0449,0,8,7,16,13,4,102.528,2,264.8509,273.2471,0,516.0785,396.6585,NA,NA,732.1537
"1397","V332387",2265,"V332387_L2129_1_P.jpg","merged","L2129",TRUE,2914.0997,356.4999,0,0,0,0,0,0,1,80.7217,0,0,0,17,0,5,129.0349,2,148.0068,NA,0,498.6231,504.7227,399.6198,121.3425,737.6402
"1398","V332388",2266,"V332388_L2130_1_P.jpg","merged","L2130",TRUE,2172.9427,303.8702,0,0,0,0,0,0,1,72.0278,0,0,8,18,0,4,83.1865,2,NA,202.8694,0,348.4652,369.616,313.9044,53.3667,716.2597
"1399","V332389",2267,"V332389_L2131_1_P.jpg","merged","L2131",TRUE,NA,397.9378,1,219.6725,0,1,236.381,0,1,139.2839,0,10,8,17,12,6,120.2664,2,318.044,NA,0,624.2596,434.1659,483.508,NA,726.6829
"1400","V332391",2270,"V332391_L2133_1_P.jpg","merged","L2133",TRUE,5120.1562,644.3925,1,179.9222,0,1,191.42625,0,1,96.76775,0,9,8,17,14,7,220.1454,2,329.3873,NA,0,715.374,741.307,636.8422,221.4498,744.7523
"1401","V332392",2272,"V332392_L2134_1_P.jpg","merged","L2134",TRUE,NA,644.8134,0,NA,1,0,NA,1,0,NA,1,0,0,0,12,0,NA,2,570.824,469.7744,0,867.788,870.3562,612.3267,NA,733.0921
"1402","V332393",2273,"V332393_L2135_1_C.jpg","merged","L2135",TRUE,NA,508.3143,1,NA,0,1,309.0113,0,1,132.2422,0,10,8,17,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,722.7724
"1403","V332394",2274,"V332394_L2136_1_P.jpg","merged","L2136",TRUE,4349.463,527.7762,0,0,0,0,0,0,1,134.4619,0,7,8,17,14,6,184.6943,0,NA,NA,0,545.9524,659.9394,868.3041,209.571,728.5383
"1404","V332395",2275,"V332395_L2137_1_P.jpg","merged","L2137",TRUE,NA,401.1074,0,0,0,1,277.2526,0,1,126.8897,0,0,0,0,0,6,120.5985,2,57,NA,0,606.3341,455.3779,453.0894,NA,720.1
"1405","V332396",2276,"V332396_L2138_1_P.jpg","merged","L2138",TRUE,NA,492.3426,0,0,0,1,216.3747,0,1,105.3423,0,0,8,0,17,NA,159.2545,2,NA,NA,0,NA,474.9579,353.0581,NA,721.0555
"1406","V332397",2277,"V332397_L2139_1_P.jpg","merged","L2139",TRUE,NA,624.2312,0,0,0,1,112.0714,0,1,108.2959,0,9,0,0,0,NA,156.8694,2,361.884,279.2562,0,883.1308,578.7988,603.47,211.2061,728.9444
"1407","V332399",2278,"V332399_L2141_1_P.jpg","merged","L2141",TRUE,NA,374.4021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,124,0,NA,NA,0,149.9333,386.9884,340.0941,NA,550.4471
"1408","V332400",2279,"V332400_L2142_1_P.jpg","merged","L2142",TRUE,2358.0611,NA,0,0,0,0,0,0,1,NA,0,0,0,17,0,NA,NA,2,268.412,NA,0,452.6422,294.749,NA,NA,549.4588
"1409","V332401",2280,"V332401_L2143_1_P.jpg","merged","L2143",TRUE,3804.2271,NA,1,110.3087,0,1,225.2199,0,1,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,553.3679
