fish_id,measure,part_value,part_scale,has_multiple_values.x,cpart_value,cpart_scale,has_multiple_values.y,var_type,scale,absolute_diff,relative_diff,exceeds_threshold,multiple_measurements
V330458,MAV,3.333333333333333,707.8538,TRUE,0,713.2181,FALSE,count,710.53595,3.333333333333333,6.626274882863196e-4,TRUE,TRUE
V330458,MDF,2.333333333333333,707.8538,TRUE,0,713.2181,FALSE,count,710.53595,2.333333333333333,4.638392418004238e-4,TRUE,TRUE
V330458,MAF,2,707.8538,TRUE,0,713.2181,FALSE,count,710.53595,2,3.975764929717918e-4,TRUE,TRUE
V330458,MPT,1.3333333333333335,707.8538,TRUE,0,713.2181,FALSE,count,710.53595,1.3333333333333335,2.650509953145279e-4,TRUE,TRUE
V330462,MPT,0,725.887,FALSE,5,704.409,FALSE,count,715.1479999999999,5,9.939412324294797e-4,TRUE,FALSE
V330464,MPT,5,687.5173,FALSE,0,708.8074,FALSE,count,698.1623500000001,5,9.939412324294797e-4,TRUE,FALSE
V330466,MCV,4.25,619.9481,TRUE,0,702.519,FALSE,count,661.2335499999999,4.25,8.448500475650576e-4,TRUE,TRUE
V330466,MAF,2.25,619.9481,TRUE,0,702.519,FALSE,count,661.2335499999999,2.25,4.4727355459326583e-4,TRUE,TRUE
V330466,MDF,2.25,619.9481,TRUE,0,702.519,FALSE,count,661.2335499999999,2.25,4.4727355459326583e-4,TRUE,TRUE
V330466,MPT,1.6666666666666665,619.9481,TRUE,0,702.519,FALSE,count,661.2335499999999,1.6666666666666665,3.313137441431598e-4,TRUE,TRUE
V330468,DS3,60.0375,714.6363,TRUE,0,713.2685,FALSE,continuous,713.9524,60.0375,0.0840917405698195,TRUE,TRUE
V330468,MCV,8.5,714.6363,TRUE,0,713.2685,FALSE,count,713.9524,8.5,0.0016897000951301153,TRUE,TRUE
V330468,MAV,6,714.6363,TRUE,0,713.2685,FALSE,count,713.9524,6,0.0011927294789153755,TRUE,TRUE
V330468,MDF,4.5,714.6363,TRUE,0,713.2685,FALSE,count,713.9524,4.5,8.945471091865317e-4,TRUE,TRUE
V330468,MAF,4,714.6363,TRUE,0,713.2685,FALSE,count,713.9524,4,7.951529859435836e-4,TRUE,TRUE
V330468,MPT,2.5,714.6363,TRUE,0,713.2685,FALSE,count,713.9524,2.5,4.969706162147398e-4,TRUE,TRUE
V330470,MPSP,2,694.2881,FALSE,0,708.0113,FALSE,count,701.1496999999999,2,3.975764929717918e-4,TRUE,FALSE
V330473,DS3,0,688,FALSE,60.40595,689.4055,TRUE,continuous,688.7027499999999,60.40595,0.08770975576908907,TRUE,TRUE
V330473,MAV,0,688,FALSE,6,689.4055,TRUE,count,688.7027499999999,6,0.0011927294789153755,TRUE,TRUE
V330473,MPT,0,688,FALSE,2,689.4055,TRUE,count,688.7027499999999,2,3.975764929717918e-4,TRUE,TRUE
V330473,MPSP,0,688,FALSE,1,689.4055,TRUE,count,688.7027499999999,1,1.987882464858959e-4,TRUE,TRUE
V330474,DS2,277.2003,702.2535,FALSE,0,707.6722,FALSE,continuous,704.96285,277.2003,0.39321263524737515,TRUE,FALSE
V330474,DS3,116.8418,702.2535,FALSE,0,707.6722,FALSE,continuous,704.96285,116.8418,0.16574178341454449,TRUE,FALSE
V330474,MAV,13,702.2535,FALSE,0,707.6722,FALSE,count,704.96285,13,0.002584247204316647,TRUE,FALSE
V330474,MPT,5,702.2535,FALSE,0,707.6722,FALSE,count,704.96285,5,9.939412324294797e-4,TRUE,FALSE
V330476,DS3,115.4777,712.8646,FALSE,0,707.6298,FALSE,continuous,710.2472,115.4777,0.16258803976981534,TRUE,FALSE
V330476,PMX,145.2446,712.8646,FALSE,89.958,707.6298,FALSE,continuous,710.2472,55.28659999999999,0.07784134875857306,TRUE,FALSE
V330481,MCV,13,694.0576,FALSE,0,708.6353,FALSE,count,701.34645,13,0.002584247204316647,TRUE,FALSE
V330483,DS2,0,690.1043,FALSE,243.3927,691.238,FALSE,continuous,690.67115,243.3927,0.3524002703746928,TRUE,FALSE
V330483,DS3,0,690.1043,FALSE,109.3435,691.238,FALSE,continuous,690.67115,109.3435,0.15831485070717086,TRUE,FALSE
V330483,MAV,13,690.1043,FALSE,0,691.238,FALSE,count,690.67115,13,0.002584247204316647,TRUE,FALSE
V330484,DS3,68.942,679.0346,TRUE,0,709.1629,FALSE,continuous,694.09875,68.942,0.09932592444518881,TRUE,TRUE
V330484,MCV,9,679.0346,TRUE,0,709.1629,FALSE,count,694.09875,9,0.0017890942183730633,TRUE,TRUE
V330484,MDF,5,679.0346,TRUE,0,709.1629,FALSE,count,694.09875,5,9.939412324294797e-4,TRUE,TRUE
V330484,MAF,4.5,679.0346,TRUE,0,709.1629,FALSE,count,694.09875,4.5,8.945471091865317e-4,TRUE,TRUE
V330490,DS3,35.22785,708.0706,TRUE,0,697.6506,FALSE,continuous,702.8606,35.22785,0.05012067826820851,TRUE,TRUE
V330490,MCV,8,708.0706,TRUE,0,697.6506,FALSE,count,702.8606,8,0.0015903059718871673,TRUE,TRUE
V330490,MAV,6.5,708.0706,TRUE,0,697.6506,FALSE,count,702.8606,6.5,0.0012921236021583235,TRUE,TRUE
V330490,MPT,4,NA,FALSE,0,697.6506,FALSE,count,697.6506,4,7.951529859435836e-4,TRUE,FALSE
V330492,DS3,0,686.3709,TRUE,35.248599999999996,697.1485,TRUE,continuous,691.7597000000001,35.248599999999996,0.05095497757385981,TRUE,TRUE
V330492,MCV,8.5,686.3709,TRUE,0,697.1485,TRUE,count,691.7597000000001,8.5,0.0016897000951301153,TRUE,TRUE
V330492,MAV,7,686.3709,TRUE,0,697.1485,TRUE,count,691.7597000000001,7,0.0013915177254012715,TRUE,TRUE
V330492,MPT,0,686.3709,TRUE,3,697.1485,TRUE,count,691.7597000000001,3,5.963647394576877e-4,TRUE,TRUE
V330492,MPSP,1,686.3709,TRUE,0,697.1485,TRUE,count,691.7597000000001,1,1.987882464858959e-4,TRUE,TRUE
V330493,DS3,0,700.5826,FALSE,67.6757,696.7819,TRUE,continuous,698.68225,67.6757,0.09686191398164189,TRUE,TRUE
V330493,MAV,0,700.5826,FALSE,6,696.7819,TRUE,count,698.68225,6,0.0011927294789153755,TRUE,TRUE
V330494,DS3,0,685.9738,FALSE,110.4975,713.9811,FALSE,continuous,699.97745,110.4975,0.1578586567324419,TRUE,FALSE
V330494,MPT,0,685.9738,FALSE,5,713.9811,FALSE,count,699.97745,5,9.939412324294797e-4,TRUE,FALSE
V330495,DS3,0,702.2307,FALSE,124.4508,691.6676,FALSE,continuous,696.9491499999999,124.4508,0.17856510765527156,TRUE,FALSE
V330495,MCV,0,702.2307,FALSE,18,691.6676,FALSE,count,696.9491499999999,18,0.0035781884367461266,TRUE,FALSE
V330496,ECT,613.4175,695.0489,FALSE,429.0105,721.4049,FALSE,continuous,708.2269,184.40700000000004,0.2603784182724492,TRUE,FALSE
V330496,DS3,146.697,695.0489,FALSE,0,721.4049,FALSE,continuous,708.2269,146.697,0.20713277058524607,TRUE,FALSE
V330496,CLE,456.0395,695.0489,FALSE,545.8351,721.4049,FALSE,continuous,708.2269,89.79560000000004,0.1267893100360916,TRUE,FALSE
V330496,MPT,6,695.0489,FALSE,0,721.4049,FALSE,count,708.2269,6,0.0011927294789153755,TRUE,FALSE
V330502,DS3,0,704.0455,FALSE,90.4489,714.0567,FALSE,continuous,709.0510999999999,90.4489,0.12756330256028092,TRUE,FALSE
V330502,MCV,0,704.0455,FALSE,17,714.0567,FALSE,count,709.0510999999999,17,0.0033794001902602306,TRUE,FALSE
V330502,MAV,0,704.0455,FALSE,13,714.0567,FALSE,count,709.0510999999999,13,0.002584247204316647,TRUE,FALSE
V330502,MDF,0,704.0455,FALSE,9,714.0567,FALSE,count,709.0510999999999,9,0.0017890942183730633,TRUE,FALSE
V330502,MAF,0,704.0455,FALSE,6,714.0567,FALSE,count,709.0510999999999,6,0.0011927294789153755,TRUE,FALSE
V330502,MPT,0,704.0455,FALSE,4,714.0567,FALSE,count,709.0510999999999,4,7.951529859435836e-4,TRUE,FALSE
V330507,MPT,8,709.2447,FALSE,0,715.3978,FALSE,count,712.32125,8,0.0015903059718871673,TRUE,FALSE
V330509,DS3,0,715.6312,FALSE,123.4828,707.6722,FALSE,continuous,711.6517,123.4828,0.1735157802616083,TRUE,FALSE
V330509,MCV,0,715.6312,FALSE,17,707.6722,FALSE,count,711.6517,17,0.0033794001902602306,TRUE,FALSE
V330509,MAV,0,715.6312,FALSE,11,707.6722,FALSE,count,711.6517,11,0.002186670711344855,TRUE,FALSE
V330509,MDF,0,715.6312,FALSE,9,707.6722,FALSE,count,711.6517,9,0.0017890942183730633,TRUE,FALSE
V330509,MAF,0,715.6312,FALSE,8,707.6722,FALSE,count,711.6517,8,0.0015903059718871673,TRUE,FALSE
V330509,MPT,0,715.6312,FALSE,4,707.6722,FALSE,count,711.6517,4,7.951529859435836e-4,TRUE,FALSE
V330513,PMX,202.4253,719.5248,FALSE,113.2078,717.7527,FALSE,continuous,718.6387500000001,89.21749999999999,0.12414791158979387,TRUE,FALSE
V330513,MPT,0,719.5248,FALSE,5,717.7527,FALSE,count,718.6387500000001,5,9.939412324294797e-4,TRUE,FALSE
V330525,DS3,164.195,713.448,FALSE,0,688.7438,FALSE,continuous,701.0959,164.195,0.2341976325920605,TRUE,FALSE
V330525,CLE,497.9317,713.448,FALSE,533.1866,688.7438,FALSE,continuous,701.0959,35.25490000000002,0.050285417444318276,TRUE,FALSE
V330525,MPT,5,713.448,FALSE,0,688.7438,FALSE,count,701.0959,5,9.939412324294797e-4,TRUE,FALSE
V330526,DS3,127.059,698.1805,FALSE,0,702.41010000000006,FALSE,continuous,700.2953,127.059,0.18143631693658374,TRUE,FALSE
V330526,MPT,5,698.1805,FALSE,0,702.41010000000006,FALSE,count,700.2953,5,9.939412324294797e-4,TRUE,FALSE
V330533,MPSP,0,693.951,TRUE,0.6666666666666667,703.1472,TRUE,count,698.5491,0.6666666666666667,1.3252549765726396e-4,TRUE,TRUE
V330534,DS3,0,702.0256,TRUE,93.723,695.4632,FALSE,continuous,698.7444,93.723,0.13413059195894808,TRUE,TRUE
V330534,MCV,0,702.0256,TRUE,17,695.4632,FALSE,count,698.7444,17,0.0033794001902602306,TRUE,TRUE
V330534,MPT,0,702.0256,TRUE,4,695.4632,FALSE,count,698.7444,4,7.951529859435836e-4,TRUE,TRUE
V330536,DS3,78,706.25,FALSE,0,682.302,FALSE,continuous,694.2760000000001,78,0.11234725094919022,TRUE,FALSE
V330536,MPT,5,706.25,FALSE,0,682.302,FALSE,count,694.2760000000001,5,9.939412324294797e-4,TRUE,FALSE
V330538,DS2,275.7716,715.2342,FALSE,0,703.1472,FALSE,continuous,709.1907,275.7716,0.3888539429521566,TRUE,FALSE
V330538,MCV,16,715.2342,FALSE,0,703.1472,FALSE,count,709.1907,16,0.0031806119437743346,TRUE,FALSE
V330538,MAV,13,715.2342,FALSE,0,703.1472,FALSE,count,709.1907,13,0.002584247204316647,TRUE,FALSE
V330541,TPG,575.013,693.8386,FALSE,213.7756,698.5242,FALSE,continuous,696.1813999999999,361.23740000000004,0.518884014999539,TRUE,FALSE
V330541,DS2,0,693.8386,FALSE,268.3431,698.5242,FALSE,continuous,696.1813999999999,268.3431,0.38544997036691875,TRUE,FALSE
V330541,DS3,0,693.8386,FALSE,121.0785,698.5242,FALSE,continuous,696.1813999999999,121.0785,0.17391803343209114,TRUE,FALSE
V330541,MCV,0,693.8386,FALSE,13,698.5242,FALSE,count,696.1813999999999,13,0.002584247204316647,TRUE,FALSE
V330541,MAV,0,693.8386,FALSE,12,698.5242,FALSE,count,696.1813999999999,12,0.002385458957830751,TRUE,FALSE
V330541,MDF,0,693.8386,FALSE,9,698.5242,FALSE,count,696.1813999999999,9,0.0017890942183730633,TRUE,FALSE
V330541,MAF,0,693.8386,FALSE,6,698.5242,FALSE,count,696.1813999999999,6,0.0011927294789153755,TRUE,FALSE
V330541,MPT,0,693.8386,FALSE,5,698.5242,FALSE,count,696.1813999999999,5,9.939412324294797e-4,TRUE,FALSE
V330541,MPSP,0,693.8386,FALSE,2,698.5242,FALSE,count,696.1813999999999,2,3.975764929717918e-4,TRUE,FALSE
V330542,PMX,123.4828,691.9075,FALSE,222.1711,688.7438,FALSE,continuous,690.32565,98.6883,0.142959051282536,TRUE,FALSE
V330542,MCV,0,691.9075,FALSE,17,688.7438,FALSE,count,690.32565,17,0.0033794001902602306,TRUE,FALSE
V330542,MAV,0,691.9075,FALSE,10,688.7438,FALSE,count,690.32565,10,0.0019878824648589593,TRUE,FALSE
V330542,MPT,0,691.9075,FALSE,4,688.7438,FALSE,count,690.32565,4,7.951529859435836e-4,TRUE,FALSE
