"","LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"3992","L4249",282.2,505.05,16496.463,16500
"3993","L4250",277.4,509.85,16651.901,16750
"3994","L4251",280,507.25,16567.705,16750
"3995","L4252",284.6,502.65,16418.744,16500
"3996","L4253",284.4,502.85,16425.221,16500
"3997","L4254",291.15,496.1,16206.636,16250
"3998","L4255",261,526.25,17182.98,17250
"3999","L4256",261.1,526.15,17179.742,17250
"4000","L4257",277.4,509.85,16651.901,16750
"4001","L4258",283.6,503.65,16451.127,16500
"4002","L4259",262.7,524.55,17127.929,17250
"4003","L4260",285.15,502.1,16400.933,16500
"4004","L4261",288.85,498.4,16281.117,16500
"4005","L4262",279,508.25,16600.088,16750
"4006","L4263",278.7,508.55,16609.803,16750
"4007","L4264",279.6,507.65,16580.658,16750
"4008","L4265",276.9,510.35,16668.092,16750
"4009","L4266",276.8,510.45,16671.331,16750
"4010","L4267",281.2,506.05,16528.846,16750
"4011","L4268",280.9,506.35,16538.561,16750
"4012","L4269",285.25,502,16397.695,16500
"4013","L4270",282.3,504.95,16493.225,16500
"4014","L4271",293.65,493.6,16125.679,16250
"4015","L4272",261.8,525.45,17157.074,17250
"4016","L4273",292.55,494.7,16161.3,16250
"4017","L4274",279,508.25,16600.088,16750
"4018","L4275",284.9,502.35,16409.029,16500
"4019","L4276",278.2,509.05,16625.994,16750
"4020","L4277",276.8,510.45,16671.331,16750
"4021","L4278",282.3,504.95,16493.225,16500
"4022","L4279",296.85,490.4,16022.053,16250
"4023","L4280",282.9,504.35,16473.795,16500
"4024","L4281",262.1,525.15,17147.359,17250
"4025","L4282",296.15,491.1,16044.721,16250
"4026","L4283",261.4,525.85,17170.027,17250
"4027","L4284",284.1,503.15,16434.935,16500
"4028","L4285",286.85,500.4,16345.882,16500
"4029","L4286",260.3,526.95,17205.648,17250
"4030","L4287",285.55,501.7,16387.98,16500
"4031","L4288",288.95,498.3,16277.878,16500
"4032","L4289",286.65,500.6,16352.359,16500
"4033","L4290",274.05,513.2,16760.384,17000
"4034","L4291",281.5,505.75,16519.131,16750
"4035","L4292",278.7,508.55,16609.803,16750
"4036","L4293",284.3,502.95,16428.459,16500
"4037","L4294",277.8,509.45,16638.948,16750
"4038","L4295",278.7,508.55,16609.803,16750
"4039","L4296",285.55,501.7,16387.98,16500
"4040","L4297",284.6,502.65,16418.744,16500
"4041","L4298",281.3,505.95,16525.607,16750
"4042","L4299",277.7,509.55,16642.186,16750
"4043","L4300",277.7,509.55,16642.186,16750
"4044","L4301",277.8,509.45,16638.948,16750
"4045","L4302",283.9,503.35,16441.412,16500
"4046","L4303",289.75,497.5,16251.972,16500
"4047","L4304",276.8,510.45,16671.331,16750
"4048","L4305",280.4,506.85,16554.752,16750
"4049","L4306",258.8,528.45,17254.223,17500
"4050","L4307",278.5,508.75,16616.28,16750
"4051","L4308",278.2,509.05,16625.994,16750
"4052","L4309",280.4,506.85,16554.752,16750
"4053","L4310",290.65,496.6,16222.827,16250
"4054","L4311",278.9,508.35,16603.326,16750
"4055","L4312",282.9,504.35,16473.795,16500
"4056","L4313",258.3,528.95,17270.414,17500
"4057","L4314",258.4,528.85,17267.176,17500
"4058","L4315",280.9,506.35,16538.561,16750
"4059","L4316",289.35,497.9,16264.925,16500
"4060","L4317",289.75,497.5,16251.972,16500
"4061","L4318",290.15,497.1,16239.019,16250
"4062","L4319",288.55,498.7,16290.831,16500
"4063","L4320",257.45,529.8,17297.94,17500
"4064","L4321",289.65,497.6,16255.21,16500
"4065","L4322",296.15,491.1,16044.721,16250
"4066","L4323",279.6,507.65,16580.658,16750
"4067","L4324",278.9,508.35,16603.326,16750
"4068","L4325",257.1,530.15,17309.274,17500
"4069","L4326",286.65,500.6,16352.359,16500
"4070","L4327",278.8,508.45,16606.565,16750
"4071","L4328",287.75,499.5,16316.738,16500
"4072","L4329",286.65,500.6,16352.359,16500
"4073","L4330",286.85,500.4,16345.882,16500
"4074","L4331",279,508.25,16600.088,16750
"4075","L4332",286.65,500.6,16352.359,16500
"4076","L4333",269.55,517.7,16906.107,17000
"4077","L4334",257.3,529.95,17302.797,17500
"4078","L4335",269.45,517.8,16909.345,17000
"4079","L4336",270.15,517.1,16886.677,17000
"4080","L4337",270.55,516.7,16873.724,17000
"4081","L4338",289.55,497.7,16258.449,16500
"4082","L4339",289.75,497.5,16251.972,16500
"4083","L4340",286.95,500.3,16342.644,16500
"4084","L4341",286.95,500.3,16342.644,16500
"4085","L4342",289.75,497.5,16251.972,16500
"4086","L4343",289.75,497.5,16251.972,16500
"4087","L4344",296.05,491.2,16047.96,16250
"4088","L4345",289.15,498.1,16271.402,16500
"4089","L4346",289.35,497.9,16264.925,16500
"4090","L4347",289.35,497.9,16264.925,16500
"4091","L4348",276.7,510.55,16674.569,16750
"4092","L4349",276.8,510.45,16671.331,16750
"4093","L4350",270.15,517.1,16886.677,17000
"4094","L4351",293.65,493.6,16125.679,16250
"4095","L4352",295.45,491.8,16067.389,16250
"4096","L4353",270.45,516.8,16876.962,17000
"4097","L4354",289.25,498,16268.163,16500
"4098","L4355",270.15,517.1,16886.677,17000
"4099","L4356",270.45,516.8,16876.962,17000
"4100","L4357",270.65,516.6,16870.485,17000
"4101","L4358",288.95,498.3,16277.878,16500
"4102","L4359",270.05,517.2,16889.915,17000
"4103","L4360",268.75,518.5,16932.013,17000
"4104","L4361",285.85,501.4,16378.265,16500
"4105","L4362",269.45,517.8,16909.345,17000
"4106","L4363",289.15,498.1,16271.402,16500
"4107","L4364",269.45,517.8,16909.345,17000
"4108","L4365",289.05,498.2,16274.64,16500
"4109","L4366",270.45,516.8,16876.962,17000
"4110","L4367",270.25,517,16883.439,17000
"4111","L4368",270.65,516.6,16870.485,17000
"4112","L4369",269.75,517.5,16899.63,17000
"4113","L4370",269.85,517.4,16896.392,17000
"4114","L4371",285.95,501.3,16375.027,16500
"4115","L4372",269.45,517.8,16909.345,17000
"4116","L4373",296.55,490.7,16031.768,16250
"4117","L4374",285.95,501.3,16375.027,16500
"4118","L4375",299.45,487.8,15937.858,16000
"4119","L4376",297.85,489.4,15989.67,16000
"4120","L4377",285.85,501.4,16378.265,16500
"4121","L4378",269.15,518.1,16919.06,17000
"4122","L4379",270.15,517.1,16886.677,17000
"4123","L4380",269.35,517.9,16912.583,17000
"4124","L4381",285.65,501.6,16384.742,16500
"4125","L4382",269.05,518.2,16922.298,17000
"4126","L4383",302.05,485.2,15853.662,16000
"4127","L4384",269.85,517.4,16896.392,17000
"4128","L4385",289.75,497.5,16251.972,16500
"4129","L4386",268.35,518.9,16944.966,17000
"4130","L4387",292.95,494.3,16148.347,16250
"4131","L4388",270.25,517,16883.439,17000
"4132","L4389",292.65,494.6,16158.062,16250
"4133","L4390",269.75,517.5,16899.63,17000
"4134","L4391",269.65,517.6,16902.868,17000
"4135","L4392",295.55,491.7,16064.151,16250
