"LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"L0494",492.7,294.55,9679.862,9750
"L0495",356.2,431.05,14100.128,14250
"L0496",452.85,334.4,10970.321,11000
"L0497",453.65,333.6,10944.414,11000
"L0498",421.85,365.4,11974.191,12000
"L0499",359.4,427.85,13996.503,14000
"L0500",355.4,431.85,14126.034,14250
"L0501",555.5,231.75,7646.216,7750
"L0502",454.25,333,10924.985,11000
"L0503",558.7,228.55,7542.591,7750
"L0504",561,226.25,7468.11,7500
"L0505",358.8,428.45,14015.933,14250
"L0506",560,227.25,7500.493,7750
"L0507",373.05,414.2,13554.476,13750
"L0508",411,376.25,12325.545,12500
"L0509",560,227.25,7500.493,7750
"L0510",562,225.25,7435.727,7500
"L0511",562,225.25,7435.727,7500
"L0512",460.55,326.7,10720.972,10750
"L0513",562.9,224.35,7406.582,7500
"L0514",359.3,427.95,13999.741,14000
"L0515",563.6,223.65,7383.914,7500
"L0516",460.25,327,10730.687,10750
"L0517",371.05,416.2,13619.242,13750
"L0518",363.05,424.2,13878.305,14000
"L0519",414.2,373.05,12221.92,12250
"L0520",459.35,327.9,10759.832,11000
"L0521",360.7,426.55,13954.405,14000
"L0522",459.35,327.9,10759.832,11000
"L0523",460.55,326.7,10720.972,10750
"L0524",359.3,427.95,13999.741,14000
"L0525",437.7,349.55,11460.922,11500
"L0526",564.2,223.05,7364.485,7500
"L0527",564.1,223.15,7367.723,7500
"L0528",460.55,326.7,10720.972,10750
"L0529",460.55,326.7,10720.972,10750
"L0530",563.8,223.45,7377.438,7500
"L0531",460.55,326.7,10720.972,10750
"L0532",454.95,332.3,10902.317,11000
"L0533",355.7,431.55,14116.32,14250
"L0534",460.55,326.7,10720.972,10750
"L0535",359.7,427.55,13986.788,14000
"L0536",570.1,217.15,7173.425,7250
"L0537",528.8,258.45,8510.839,8750
"L0538",356.6,430.65,14087.175,14250
"L0539",460.55,326.7,10720.972,10750
"L0540",356,431.25,14106.605,14250
"L0541",357.8,429.45,14048.316,14250
"L0542",379.45,407.8,13347.226,13500
"L0543",353,434.25,14203.753,14250
"L0544",379.35,407.9,13350.464,13500
"L0545",360.2,427.05,13970.597,14000
"L0546",360.6,426.65,13957.643,14000
"L0547",491.9,295.35,9705.768,9750
"L0548",379.75,407.5,13337.511,13500
"L0549",360,427.25,13977.073,14000
"L0550",571.2,216.05,7137.804,7250
"L0551",493.7,293.55,9647.479,9750
"L0552",460.15,327.1,10733.925,10750
"L0553",570.9,216.35,7147.519,7250
"L0554",383.75,403.5,13207.979,13250
"L0555",383.75,403.5,13207.979,13250
"L0556",383.15,404.1,13227.409,13250
"L0557",381.85,405.4,13269.507,13500
"L0558",381.95,405.3,13266.268,13500
"L0559",381.95,405.3,13266.268,13500
"L0560",379.55,407.7,13343.987,13500
"L0561",354.3,432.95,14161.656,14250
"L0562",355.9,431.35,14109.843,14250
"L0563",360.6,426.65,13957.643,14000
"L0564",359.5,427.75,13993.265,14000
"L0565",358.4,428.85,14028.886,14250
"L0566",360.5,426.75,13960.882,14000
"L0567",513.3,273.95,9012.774,9250
"L0568",531.8,255.45,8413.691,8500
"L0569",362,425.25,13912.307,14000
"L0570",423.55,363.7,11919.14,12000
"L0571",355.2,432.05,14132.511,14250
"L0572",467.95,319.3,10481.339,10500
"L0573",423.95,363.3,11906.187,12000
"L0574",384.45,402.8,13185.311,13250
"L0575",422.85,364.4,11941.808,12000
"L0576",576.3,210.95,6972.651,7000
"L0577",356.9,430.35,14077.46,14250
"L0578",380.25,407,13321.319,13500
"L0579",356.2,431.05,14100.128,14250
"L0580",356.2,431.05,14100.128,14250
"L0581",357.3,429.95,14064.507,14250
"L0582",517.9,269.35,8863.813,9000
"L0583",538.4,248.85,8199.963,8250
"L0584",383.45,403.8,13217.694,13250
"L0585",576.3,210.95,6972.651,7000
"L0586",359.7,427.55,13986.788,14000
"L0587",576.3,210.95,6972.651,7000
"L0588",362,425.25,13912.307,14000
"L0589",535.2,252.05,8303.589,8500
"L0590",576.3,210.95,6972.651,7000
