"Sample_ID","V_number","LSPEC","sample_type","CSTRAT","YEAR","Unknown_Fragment","Spheroid","Elongate","Oblong","Blocky","Polyhedral","Polygonal","Acicular","Tracheary_annulate","Rondel","Acute","Brachiate","Bulliform_flabellate","Bilobate","Saddle","Cross","Geniculate","Crenate"
"V333994_L3863","V333994","L3863","Stickleback",NA,NA,163,138,63,38,29,31,4,18,21,7,0,0,0,5,0,0,0,0
"V333906_L3752","V333906","L3752","Stickleback",NA,NA,425,245,58,164,49,58,0,26,1,7,5,7,1,3,0,0,0,0
"V333800_L3646","V333800","L3646","Stickleback",NA,NA,432,170,54,131,42,97,1,25,0,6,3,5,0,3,0,0,0,0
"V333581_L3425","V333581","L3425","Stickleback",NA,NA,221,181,77,75,41,42,17,20,10,7,0,4,0,2,0,0,0,0
"V333449_L3291","V333449","L3291","Stickleback",NA,NA,204,87,83,59,45,26,8,8,11,6,0,0,0,4,0,1,0,0
"V333237_L3096","V333237","L3096","Stickleback",NA,NA,439,169,75,113,57,58,1,34,15,9,8,12,1,6,0,0,0,0
"V332540_L2284","V332540","L2284","Stickleback",NA,NA,242,102,53,48,34,20,31,26,8,5,0,0,0,0,0,0,0,0
"V332357_L2097","V332357","L2097","Stickleback",NA,NA,185,106,77,61,39,47,7,17,4,4,0,1,0,3,0,0,0,0
"V332333_L2072","V332333","L2072","Stickleback",NA,NA,166,71,67,31,38,24,127,37,12,8,0,8,0,3,0,0,0,0
"V331739_L1466","V331739","L1466","Stickleback",NA,NA,22,6,165,61,52,2,79,29,23,42,84,4,65,7,2,0,1,2
"V330643_L0297","V330643","L0297","Stickleback",NA,NA,602,176,228,42,48,76,4,40,18,28,28,32,0,2,0,0,0,0
"V330632_L0286","V330632","L0286","Stickleback",NA,NA,402,117,116,192,108,119,0,1,10,7,14,8,0,2,0,0,0,0
"V330519_L0161","V330519","L0161","Stickleback",NA,NA,91,148,101,59,69,13,42,20,58,21,14,0,0,9,0,0,0,0
"V330470_L110","V330470","L0110","Stickleback",NA,NA,31,4,184,23,46,4,175,17,7,27,60,6,33,12,1,0,1,0
"V330455_L0095","V330455","L0095","Stickleback",NA,NA,40,72,62,37,49,4,11,0,15,33,9,5,6,14,0,3,0,0
"V330400_L0040","V330400","L0040","Stickleback",NA,NA,35,34,102,66,57,12,177,0,40,29,15,2,4,6,0,1,0,0
